Clapeyron Database File,,,,,,,,,,,
Burdhardt Ideal Like Parameters  [csvtype = like,grouptype = BurkhardtAlyLee]
species,A,B,C,D,E
-CH3,0.7456395075994763,9.571356663995955,-20.863622442624823,-8.74077156158028,8.444010695750835
-CH2-,0.9773458932660356,6.743730284723144,-0.484376069653979,-4.594280083591749,1.6779122878444799
>CH-,1.2976977621628218,3.733475852551012,15.644973451272895,-0.20869118123837022,-14.440253407773145
>C<,1.7463804301365287,0.6254268634735297,37.673110799924935,4.835437487428392,-28.762660974455653
=CH2,0.2846761760945906,7.7286746465244365,-29.184221904692265,-6.47922648364217,0.3544234975865931
=CH-,0.8894055744715712,4.457082021772203,-2.670913760796055,-2.940304120542446,-2.7179750503415323
>C=,1.3533747318774716,1.3623419445138893,29.217878818455315,1.8650514635485451,5.679440474150619
≡C-,1.6083871931363756,1.3015027207203358,14.9343106211568,-0.8057151268259265,4.650860126614966
≡CH,-0.2809029130033,6.094285326901789,-28.4128403268719,-3.397253441284053,39.78738508593798
=C=,1.1659696880492276,1.959380053567791,7.170723259229922,-0.7371976411490258,14.734403455172846
-CH-(arom),0.2556633006817628,5.3110497980729345,-7.188620658699,-3.866801243978328,-1.5671935904068357
>C-(arom),0.8684997765383919,1.9422682530011186,17.17356618280673,0.3951182694230491,6.383702856602316
>C-(arom)(arom),0.08358280993313999,2.852954342399681,-2.244661684122055,-1.406537337136423,-1.503540553406044
=O,0.006355796567385805,2.828522058948921,-28.75026171092888,-2.447709585141431,6.022603762593879
-OH,0.4023274702965618,5.203942487990309,-19.197011248690075,-4.5384928796260295,9.086391423365939
-O-,1.1999062666259301,1.928155352698915,-2.63439089178447,-2.091181141379243,-4.218735834463082
-O-(arom),0.3910973052385371,2.458335630878907,-25.232786341854588,-2.373320730217471,-37.25692114300408
-NH2,-0.04083413185359035,7.943419114472044,-42.86443334914416,-6.484723281725111,1.0960569291835143
=NH,0.1564030177314677,5.203967437743628,-12.524250453374258,-5.102425666961388,0.99157000441879
≡N,-0.1899394345225035,3.437355706970666,-10.170526629404527,-2.043284593380618,31.960223996691866
-NH-,-1.8114758973696896,5.894122436456497,-188.5799549496691,-8.804597870837261,-120.82450294101709
-N=,0.8628668805193543,2.363258463257998,-7.235186547665406,-2.346793475687144,-3.4430286515158524
>N-,1.6418222645828568,1.5009226053875984,22.947009632174836,0.05526943033751467,0.011804947676521656
-NO2,0.8863934197129244,8.494803817236978,-19.18833322221156,-3.893152675387372,15.019598593186775
-NH-(arom),0.4477318150834733,4.50816699461729,-40.5238096879083,-4.4717264845250915,-42.42653770914201
-N-(arom),0.32478967927667196,2.538083096321484,-20.043917112048586,-2.540979547991288,-19.498872664691593
-SH,1.1683610530320045,4.1744070092518335,-25.684210943947345,-2.930550856227334,1.939590333618203
-S-,0.7319591512737065,2.0410696418107976,-22.155219486330168,-0.20929873943110833,-10.616574733742993
