Clapeyron Database File,
EPPR78 Groups [csvtype = groups, grouptype = EPPR78]
species,groups
ethane,"[""CH3"" => 2]"
propane~|~n-propane,"[""CH3"" => 2, ""CH2"" => 1]"
butane~|~n-butane,"[""CH3"" => 2, ""CH2"" => 2]"
isobutane~|~2-methylpropane,"[""CH3"" => 3, ""CH"" => 1]"
pentane~|~n-pentane,"[""CH3"" => 2, ""CH2"" => 3]"
hexane~|~n-hexane,"[""CH3"" => 2, ""CH2"" => 4]"
heptane~|~n-heptane,"[""CH3"" => 2, ""CH2"" => 5]"
octane~|~n-octane,"[""CH3"" => 2, ""CH2"" => 6]"
nonane~|~n-nonane,"[""CH3"" => 2, ""CH2"" => 7]"
decane~|~n-decane,"[""CH3"" => 2, ""CH2"" => 8]"
undecane~|~n-undecane,"[""CH3"" => 2, ""CH2"" => 9]"
pentadecane~|~n-pentadecane,"[""CH3"" => 2, ""CH2"" => 13]"
eicosane~|~n-eicosane,"[""CH3"" => 2, ""CH2"" => 18]"
c25~|~pentacosane~|~n-pentacosane,"[""CH3"" => 2, ""CH2"" => 23]"
triacontane~|~n-triacontane,"[""CH3"" => 2, ""CH2"" => 28]"
methane,"[""CH4""=>1]"
carbon dioxide,"[""CO2""=>1]"
water,"[""H2O""=>1]"
hydrogen,"[""H2""=>1]"
helium~|~helium-4,"[""He""=>1]"
argon,"[""Ar""=>1]"
oxygen,"[""O2""=>1]"
nitrogen,"[""N2""=>1]"
carbon monoxide,"[""CO""=>1]"
sulfur dioxide,"[""SO2""=>1]"
hydrogen sulfide,"[""H2S""=>1]"
benzene,"[""CH aro""=>6]"
"isooctane~|~2,2,4-trimethylpentane","[""CH3""=>5,""CH2""=>1,""CH""=>1,""C""=>1]"
