Clapeyron Database File
Twu like parameters
species,DIPPR Number,L,M,N,source
"1,3-difluorobenzene",,0.254631,0.826462146,2.01881194,
"4,5,9,10-tetrahydropyrene",,0.646068,0.826512502,1.463998687,
1-nitro-2-methylpropane,,0.78296,0.870726202,1.079073023,
"trichloromethyl 2,2-dichloro-1,1,2-trifluoroethyl ether",,0.220628,0.82814642,2.680554695,
"2-propenoic acid, 3-phenyl-, methyl ester, (e)-",,0.462546,0.806405036,1.919670451,
"trichloromethyl 2-chloro-1,1,2,3,3,3-hexafluoropropyl ether",,0.228338,0.82344607,2.773395785,
"1,1,1-trichloro-2,3,3-trifluoropropane",,1.184674,0.913994549,0.671400612,
"thiaindan~|~1-thiaindan~|~2,3-dihydrobenzothiophene",,0.442675,0.817560782,1.60371526,
"diisobutyl ether~|~1,1'-oxybis2-methylpropane",,0.291265,0.814122013,2.245106311,
"propane, 1,1,3-trichloro-1-(2,2-dichloro-1,1,2-trifluoroethoxy)-2,2,3,3-tetrafluoro-",,0.295605,0.809951424,2.554536522,
"1,1-dichloropentane",,0.184221,0.836848246,2.773908601,
"1,2,2-trichloro-1,1-difluoroethane",,0.364683,0.811714395,1.573812783,
"2,2,3,4-tetramethylpentane",,0.358657,0.818718841,1.729813751,
perfluoro(1-methyl-4-tert-butyl)cyclohexane,,0.353522,0.80600054,2.704676898,
isobutylcyclohexane~|~iso-butylcyclohexane~|~2-methylpropylcyclohexane~|~(2-methylpropyl)-cyclohexane,,0.252088,0.821829501,2.323763217,
"2,2,4,4,6,8,8-heptamethylnonane",,0.322828,0.809038927,2.528524149,
2-(ethylthio)butane,,0.393015,0.816365571,1.680152045,
"ethane, 1,1-dichloro-2-(chlorodifluoromethoxy)-1,2,2-trifluoro-",,0.370349,0.813563226,1.841204291,
"1,1-dichloroundecane",,0.266954,0.811958531,3.295558812,
"1,1-dichlorononane",,0.273082,0.812139546,2.740052653,
3-methyl-1-butanethiol,,0.201401,0.832329619,2.402922038,
1-(ethylthio)-2-methylpropane,,0.275821,0.81871405,2.144008602,
"cis-2,5-dimethyltetrahydrothiophene",,0.176299,0.845438635,2.623878768,
1-(isopropylthio)propane,,0.259557,0.82174849,2.199108305,
"perfluoro-n,n-bis-propyl-1-propanamine~|~1,1,2,2,3,3,3-heptafluoro-n,n-bis(heptafluoropropyl)-1-propanamine",,0.515525,0.774639219,1.980487322,
"tetrahydro-2,5-dimethylthiophene",,0.991397,0.906478952,0.728016831,
"octane, 1,2-dibromo-",,0.228055,0.829322161,2.916655814,
cyclopentyl-1-thiaethane,,0.202143,0.833027579,2.354787509,
2-methyl-3-phenyl-2-propenal,,0.400246,0.806762742,2.026797364,
"(phenoxymethyl)oxirane~|~2-phenoxymethyloxirane~|~(phenoxymethyl)-oxirane~|~1,2-epoxy-3-phenoxypropane",,0.232509,0.820910156,3.090902595,
perfluoromethylcyclopentane~|~nonafluoro(trifluoromethyl)-cyclopentane,,0.199583,0.811868796,2.761524091,
"2h-thiopyran, tetrahydro-3-methyl-",,1.16011,0.994971957,0.609433358,
"1-propene, 1,1,2,3,3,3-hexachloro-",,0.222171,0.832046453,2.350901766,
"bicyclo[5.3.0]deca-2,4,6,8,10-pentaene",,0.477365,0.82504632,1.4655405,
"perfluorobutanoic acid~|~heptafluorobutanoic acid~|~butanoic acid, heptafluoro-",,0.677293,0.80099384,1.984300768,
"dimethyl-2,6-naphthalenedicarboxylate~|~dimethyl 2,6-naphthalenedicarboxylate~|~2,6-naphthalenedicarboxylicaciddimethylester",,0.660533,0.812562354,1.88674149,
"1,1-dichloroheptane",,0.202032,0.827737444,2.948346698,
methyl p-iodobenzoate,,0.695935,0.905064369,1.789150335,
1-methyl-1-phenylhydrazine,,0.449565,0.819094588,1.873320786,
"cyclohexane, undecafluoro(pentafluoroethyl)-",,0.223435,0.818821998,3.13660026,
"ethenetetramine, octamethyl-",,0.387852,0.806982199,2.072101273,
2-methyl-2-pentanethiol,,0.17034,0.843259067,2.660707085,
2-(1-methylethyl)thiophene,,0.17493,0.841018689,2.698412761,
"2,3-dihydro-1,1-dimethyl-1h-indene",,0.279482,0.821707743,2.119099656,
"1,1,2-trichloro-1,2-difluoroethane",,0.265012,0.831097583,2.039743253,
4-methylthiazole,,0.211285,0.848806882,2.568442403,
"1,2-dichloroheptane",,0.254639,0.823471962,2.536642665,
2-methylthiacyclohexane,,0.166867,0.849624109,2.554731463,
perfluoro-di-n-butylether~|~bis(nonafluorobutyl) ether,,0.284375,0.808671804,3.06001176,
2-methylthiazole,,0.918168,0.907326012,0.807211979,
2-methoxyethylamine,,0.270346,0.819762146,2.033505396,
"2-chloro-1,1,1-trifluoroethane~|~1-chloro-2,2,2-trifluoroethane",,0.791192,0.884238322,0.976454404,
perfluoro(propylcyclohexane),,0.373497,0.804567464,2.420807591,
"1,1-dichlorohexane",,0.193785,0.832439585,2.856156497,
"ethylhexyl acetate~|~2-ethylhexyl acetate~|~1-hexanol, 2-ethyl-, acetate~|~aceticacid-2-ethylhexylester",,0.282443,0.810177771,2.838353386,
benzoxazole,,0.302856,0.816211929,2.000308054,
"2,4-hexadiyne",,0.810103,0.890280512,0.978404719,
"(r*,r*)-2,3-dichloro-1,1,1,4,4,4-hexafluorobutane",,0.612868,0.940403243,1.445428626,
(-)-trans-pinane,,0.743955,0.851942048,1.055678158,
"benzonitrile, p-chloro-",,1.191439,0.999999967,0.79205967,
chlorine trifluoride,,0.338887,0.831700136,1.907772636,
2-methylcyclohexyl acetate,,0.725032,0.848995637,1.268707019,
"1,2-dibromohexane",,0.198269,0.836739085,2.775756362,
pivalic anhydride,,0.25782,0.814383681,2.794350428,
(e)-3-methyl-3-hexene,,0.454805,0.820578812,1.505226641,
"2,2-di-p-tolylbutane",,0.493445,0.785191699,1.779167439,
dicyclohexyl sulfide,,0.318479,0.815570731,2.18049349,
perfluoro-1-decene,,0.261359,0.81088152,3.321858168,
propyl chloroformate,,0.980507,0.891259181,0.877072089,
"1,1-dichlorooctane",,0.214301,0.823937776,3.026288962,
"1,3,5-trifluorobenzene",,0.213724,0.848508616,2.573200732,
"1,2,3,4-tetrahydroquinoline",,0.5124,0.786510736,1.411687696,
".gamma.,.gamma.'-bipyridyl",,0.340928,0.85094985,2.534071982,
"1,1,2,2,3,3,4,4,5-nonafluorocyclopentane",,0.177486,0.831937289,2.865393957,
butylvinylether~|~1-(ethenyloxy)butane,,0.306324,0.815163635,2.002907601,
"1h-2-benzopyran, 3,4-dihydro-",,0.331231,0.814466393,1.923556581,
"1,1,1,2,2,3,3,4,4-nonafluoro-4-propoxybutane",,0.273282,0.813016729,2.665880024,
perfluoro(2-methylpropyl)cyclohexane,,0.405733,0.803435392,2.409656013,
"1,1,1,2,2,3,3-heptafluoro-3-(2,2,3,3-tetrafluoropropoxy)propane",,0.572145,0.814003493,1.748327559,
"ethyl-t-butyl sulfide~|~ethyl t-butyl sulfide~|~ethyl-tert-butyl sulfide~|~2,2-dimethyl-3-thiapentane~|~2-(ethylthio)-2-methylpropane",,0.261643,0.825717808,1.992952607,
"2-ethyl-3-methyl-1-butene~|~1-butene, 2-ethyl-3-methyl-",,0.247936,0.827325633,2.123742973,
carbon dioxide,,0.646068,0.827942676,0.957675703,
"1,3,5-trimethyladamantane~|~1,3,5-trimethyl-tricyclo[3.3.1.1(3,7)]decane",,0.191246,0.836577027,2.60658663,
"5,6,7,8-tetrahydroquinoline",,0.454158,0.815659454,1.561861214,
"4,5-dichloro-1-methyl-1h-imidazole",,1.280005,0.692151742,0.482382123,
undecafluoropiperidine,,0.581354,0.833466129,1.499359249,
"1,3-dichlorobutane",,0.283283,0.823579265,1.975463816,
"n,n-dimethyl(2-pentylnonyl)amine~|~n,n-dimethyl-2-pentyl-1-nonanamine",,0.292924,0.808489564,3.380921951,
"2,3-dimethyl-2-butanethiol",,0.187986,0.851410692,2.526769579,
"benzonitrile, o-chloro-",,1.203653,0.999998451,0.76580262,
"2,6-bis(1,1-dimethylethyl)-4-methylphenol",,1.4835,0.991294923,0.65381692,
3-ethyl-2-methyl-1-pentene~|~2-methyl-3-ethyl-1-pentene,,0.292755,0.822702376,1.953438861,
sec-butylcyclohexane~|~1-methylpropylcyclohexane,,0.237554,0.828308883,2.341730373,
tetraethylsilane,,0.722506,0.853410883,1.188678346,
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",,0.165943,0.843701187,2.652585391,
"2,3,3,4-tetramethylpentane",,0.64302,0.855125847,1.172284809,
"1-cis-2-trans-4-trimethylcyclopentane~|~1,cis-2,trans-4-trimethylcyclopentane",,0.559518,0.840554961,1.248448456,
"r338ccb~|~1,1,1,2,2,3,3,4-octafluorobutane",,0.190876,0.827678527,2.948410963,
"2,4-dimethylthiazole",,0.515073,0.845834565,1.445722162,
(z)-3-methyl-2-pentene~|~3-methyl-cis-2-pentene~|~cis-3-methyl-2-pentene,,0.289162,0.865186852,2.32263177,
vinylnorbornene~|~5-ethenylbicyclo[2.2.1]-2-heptene,,0.297489,0.822186929,1.788764251,
benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,,0.455598,0.811049991,1.607343846,
2-(2-pentyl)phenol,,1.450707,0.728996997,0.710549027,
"3,4-dichlorophenol",,1.785371,0.83911497,0.496145978,
"(+-)-1,4-dichloro-1,1,2,3,4,4-hexafluorobutane",,1.094624,0.969732488,0.847341574,
xenon,,0.09552,0.891991259,1.987935017,
