Clapeyron Database File,,,,,,,
Margules Unlike Parameters,,,,,,,
species1,SMILES1,species2,SMILES2,A₁₂,A₂₁,source
methanol,,ethanol,,4.712,-1162.3,
methanol,,water,,0.4354,0.5222,
water,,"1,2-propanediol",,-0.6728,-0.0135,
water,,1-butanol,,0.8608,3.2051,
water,,pyridine,,-0.4808,2.2315,
water,,pyridine,,0.3850,2.3453
