OpenSAFT Database File;;;;;;;;
PCSAFT Assoc Parameters;;;;;;;;
species1;SMILES1;site1;species2;SMILES2;site2;epsilon_assoc;bond_vol;source
methanol;CO;H;methanol;CO;e;2710.4;0.119107;
