OpenSAFT Database File
Walker ideal Parameters
species;Mw;Nrot;theta_1;theta_2;theta_3;theta_4;deg_1;deg_2;deg_3;deg_4;source
methane;16.04;3;4624.17;1694.28;3887.35;2269.83;1;2;3;3;10.1021/acs.jced.0c00723
water;18.015;3;4805.23;2313.46;5295.66;1000;1;1;1;0;10.1021/acs.jced.0c00723
carbon dioxide;44.01;2;1960.63;3280.47;957.220;1000;1;1;2;0;10.1021/acs.jced.0c00723
ammonia;18.01;3;2250.83;4338.69;1336.69;5989.50;1;1;2;2;10.1021/acs.jced.0c00723
nitrogen;28.01;2;3315.53;1000;1000;1000;1;0;0;0;10.1021/acs.jced.0c00723
oxygen;32;2;2191.71;1000;1000;1000;1;0;0;0;10.1021/acs.jced.0c00723
sulfur dioxide;64.07;2;342.891;3041.77;1384.10;1000;1;1;2;0;10.1021/acs.jced.0c00723
hydrogen sulfide;34.08;3;1780.48;3457.72;1000;1000;1;2;0;0;10.1021/acs.jced.0c00723
methanol;32.042;3;408.688;2632.54;4945.46;1880.101;1;1;4;6;10.1021/acs.jced.0c00723
methylamine;31.06;3;291.841;5587.08;1393.22;2630.53;1;4;5;5;10.1021/acs.jced.0c00723
acetone;58.08;3;202.632;5304.64;1310.10;2513.56;3;5;8;8;10.1021/acs.jced.0c00723
