Clapeyron Database File,
PSRK Groups [csvtype = groups,grouptype = PSRK]
species,groups
ethane,"[""CH3"" => 2]"
propane~|~n-propane,"[""CH3"" => 2, ""CH2"" => 1]"
butane~|~n-butane,"[""CH3"" => 2, ""CH2"" => 2]"
pentane~|~n-pentane,"[""CH3"" => 2, ""CH2"" => 3]"
hexane~|~n-hexane,"[""CH3"" => 2, ""CH2"" => 4]"
heptane~|~n-heptane,"[""CH3"" => 2, ""CH2"" => 5]"
octane~|~n-octane,"[""CH3"" => 2, ""CH2"" => 6]"
nonane~|~n-nonane,"[""CH3"" => 2, ""CH2"" => 7]"
decane~|~n-decane,"[""CH3"" => 2, ""CH2"" => 8]"
undecane~|~n-undecane,"[""CH3"" => 2, ""CH2"" => 9]"
pentadecane~|~n-pentadecane,"[""CH3"" => 2, ""CH2"" => 13]"
eicosane~|~n-eicosane,"[""CH3"" => 2, ""CH2"" => 18]"
c25~|~pentacosane~|~n-pentacosane,"[""CH3"" => 2, ""CH2"" => 23]"
triacontane~|~n-triacontane,"[""CH3"" => 2, ""CH2"" => 28]"
ethylacetate~|~ethyl ethanoate,"[""CH3""=>2,""COO""=>1,""CH2""=>1]"
propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,"[""CH3""=>2,""COO""=>1,""CH2""=>2]"
butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,"[""CH3""=>2,""COO""=>1,""CH2""=>3]"
pentylacetate~|~n-pentylacetate~|~pentyl ethanoate,"[""CH3""=>2,""COO""=>1,""CH2""=>4]"
hexylacetate~|~n-hexylacetate~|~hexyl ethanoate,"[""CH3""=>2,""COO""=>1,""CH2""=>5]"
heptyl acetate~|~n-heptyl acetate~|~heptyl ethanoate~|~aceticacidheptylester,"[""CH3""=>2,""COO""=>1,""CH2""=>6]"
cyclohexane,"[""cCH2"" => 6]"
methane,"[""CH4""=>1]"
carbon dioxide,"[""CO2""=>1]"
methanol,"[""CH3OH""=>1]"
ethanol,"[""CH2""=>1,""CH3""=>1,""OH""=>1]"
propanol~|~1-propanol~|~propan-1-ol,"[""CH2""=>2,""CH3""=>1,""OH""=>1]"
2-propanol~|~propan-2-ol~|~isopropanol,"[""CH3""=>2,""CH""=>1,""OH""=>1]"
acetic acid,"[""CH3""=>1,""COOH""=>1]"
water,"[""H2O""=>1]"
benzene,"[""ACH"" => 6]"
sulfur hexafluoride,"[""SF6"" => 1]"
toluene,"[""ACH"" => 5, ""ACCH3"" => 1]"
m-xylene,"[""ACH"" => 4, ""ACCH3"" => 2]"
o-xylene,"[""ACH"" => 4, ""ACCH3"" => 2]"
p-xylene,"[""ACH"" => 4, ""ACCH3"" => 2]"
