Clapeyron Database File,,,,,,,,,
CKSAFT Like Parameters,,,,,,,,,
species,DIPPR Number,Mw,segment,c,vol,epsilon,n_H,n_e,source
nitrogen,,,1.0,3.0,19.457,123.53,0,0,0
argon,,,1.0,0.0,16.29,150.86,0,0,
carbon monoxide,,,1.221,4.2,15.776,111.97,0,0,
carbon dioxide,,,1.417,40.0,13.578,216.08,0,0,
cl2~|~chlorine,,,1.147,18.0,22.755,367.44,0,0,
cs2~|~carbon disulfide,,,1.463,38.0,23.622,396.05,0,0,
sulfur dioxide,,,1.133,88.0,22.611,335.84,0,0,
methane,,,1.0,1.0,21.576,190.29,0,0,
ethane,,,1.941,10.0,14.46,191.44,0,0,
propane~|~n-propane,,,2.696,10.0,13.457,193.03,0,0,
butane~|~n-butane,,,3.458,10.0,12.599,195.11,0,0,
pentane~|~n-pentane,,,4.091,10.0,12.533,200.02,0,0,
hexane~|~n-hexane,,,4.724,10.0,12.475,202.72,0,0,
heptane~|~n-heptane,,,5.391,10.0,12.282,204.61,0,0,
octane~|~n-octane,,,6.045,10.0,12.234,206.03,0,0,
nonane~|~n-nonane,,,6.883,10.0,12.24,203.56,0,0,
decane~|~n-decane,,,7.527,10.0,11.723,205.46,0,0,
dodecane~|~n-dodecane,,,8.921,10.0,11.864,205.93,0,0,
tetradecane~|~n-tetradecane,,,9.978,10.0,12.389,209.4,0,0,
hexadecane~|~n-hexadecane,,,11.209,10.0,12.3,210.65,0,0,
eicosane~|~n-eicosane,,,13.94,10.0,12.0,211.25,0,0,
octacosane~|~n-octacosane,,,19.287,10.0,12.0,209.96,0,0,
hexatriacontane~|~n-hexatriacontane,,,24.443,10.0,12.0,208.74,0,0,
c44~|~tetratetracontane,,,29.252,10.0,12.0,207.73,0,0,
cyclopentane,,,3.67,10.0,12.469,226.7,0,0,
methylcyclopentane,,,4.142,10.0,13.201,223.25,0,0,
ethylcyclopentane,,,4.578,10.0,13.766,229.04,0,0,
propylcyclopentane~|~n-propylcyclopentane,,,5.037,10.0,14.251,232.18,0,0,
butylcyclopentane~|~n-butylcyclopentane,,,5.657,10.0,14.148,230.61,0,0,
pentylcyclopentane,,,6.503,10.0,13.46,225.56,0,0,
cyclohexane,,,3.97,10.0,13.502,236.41,0,0,
methylcyclohexane,,,3.954,10.0,15.651,248.44,0,0,
ethylcyclohexane,,,4.656,10.0,15.503,243.16,0,0,
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,,,5.326,10.0,15.037,238.51,0,0,
butylcyclohexane~|~n-butylcyclohexane,,,6.06,10.0,14.45,234.3,0,0,
pentylcyclohexane~|~n-pentylcyclohexane,,,6.804,10.0,14.034,230.91,0,0,
benzene,,,3.749,10.0,11.421,250.19,0,0,
toluene,,,4.373,10.0,11.789,245.27,0,0,
ethylbenzene,,,4.719,10.0,12.681,248.79,0,0,
propylbenzene~|~n-propylbenzene,,,5.521,10.0,12.421,238.66,0,0,
butylbenzene~|~n-butylbenzene,,,6.058,10.0,12.894,238.19,0,0,
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",,,4.886,10.0,12.184,245.88,0,0,
"tetralin~|~1,2,3,4-tetrahydronaphthalene",,,5.163,10.0,13.196,279.17,0,0,
biphenyl,,,6.136,10.0,12.068,280.54,0,0,
naphthalene,,,4.671,10.0,13.704,304.8,0,0,
1-methylnaphthalene,,,5.418,10.0,13.684,293.45,0,0,
1-ethylnaphthalene,,,6.292,10.0,12.835,276.18,0,0,
1-propylnaphthalene~|~1-n-propylnaphthalene,,,6.882,10.0,13.304,266.82,0,0,
1-butylnaphthalene~|~1-n-butylnaphthalene,,,7.766,10.0,13.14,252.11,0,0,
phenanthrene,,,5.327,10.0,16.518,352.0,0,0,
anthracene,,,5.344,10.0,16.297,352.65,0,0,
pyrene,,,5.615,10.0,18.212,369.38,0,0,
triphenylene,,,6.016,10.0,21.271,379.12,0,0,
dimethyl ether,,,2.799,10.0,11.536,207.83,0,0,
methylethylether~|~ethyl methyl ether,,,3.54,10.0,10.065,203.54,0,0,
1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,,,4.069,10.0,10.224,208.13,0,0,
diethyl ether,,,4.43,10.0,10.22,191.92,0,0,
diphenyl ether,,,6.358,10.0,12.1,276.13,0,0,
acetone~|~propanone,,,4.504,10.0,7.765,210.92,0,0,
