Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
n-(2-methylpropyl)-imidazole;124.187;822.0;4.955896807e6;2.496104827;0.645320164;0.2907415
2-chloropropanoic acid;108.521;657.0;4.8363742e6;1.259799906;0.854881505;0.92030462
tert-butylacetate~|~1,1-dimethylethyl ethanoate;116.16;541.2;3.03880665e6;0.191966526;0.8327867;2.849653474
bis(2-bromoethyl)ether;231.915;715.0;3.729035149e6;1.175825768;0.999996309;0.815947945
1-pentadecene;210.405;705.0;1.54094375e6;0.47582898;0.810651609;2.383108145
isopropylacetate~|~1-methylethyl ethanoate~|~acetic acid isopropyl ester;102.133;531.0983495;3.34636479e6;0.849382031;0.871109782;1.037545189
diisopropyl ether~|~di-isopropyl ether;102.177;500.1720945;2.832298656e6;1.278144764;0.999999162;0.641724804
1,4-dioxaspiro[4.5]decane;142.198;668.0;3.674677169e6;0.484934146;0.83522013;1.634524642
benzonitrile;103.124;691.5738421;3.581349726e6;0.298485565;0.807464734;1.990614731
2-butyl-1-hexylhexahydroindan;264.497;770.0;1.392904411e6;1.438647671;0.999678986;0.945024265
1,4-dimethylcyclohexane~|~trans-1,4-dimethylcyclohexane;112.216;587.661;3.041455237e6;0.495134026;0.83249096;1.300622836
trans-1,3-dimethylcyclopentane~|~(1r,3r)-1,3-dimethylcyclopentane;98.189;551.0;3.344081377e6;0.292136455;0.838940868;1.885371955
ethylamine~|~ethanamine;45.085;456.4847969;5.642631062e6;1.476496147;0.99997696;0.501659185
tetramethylsilane;88.225;448.9153525;2.820267381e6;0.156645409;0.847838162;2.5841629
7-methylquinoline;143.189;778.0;3.885264943e6;0.647682488;0.762792267;1.315420519
chlorocyclopentane;104.577;603.0;4.724487678e6;0.203400469;0.854516928;2.478447882
propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate;102.133;549.691;3.383133951e6;0.189627171;0.830325417;2.897130987
methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether;88.15;512.7315362;3.371002036e6;0.204916829;0.846113948;2.612592582
trifluoroacetic acid~|~trifluoroethanoic acid;114.0232095;491.290252;3.257632362e6;0.345314512;0.845076767;2.629476205
butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester;130.187;594.5;2.952252744e6;0.257482746;0.830960831;2.883809852
2,2-diethoxypropane;132.203;510.7;2.755561067e6;0.747106907;0.898569527;1.916266968
1-chloro-2-ethylbenzene;140.61;667.0;3.348683003e6;0.614141885;0.878559502;1.35265459
dimethyl carbonate~|~carbonic acid dimethyl ester;90.078;557.0;4.632243636e6;0.323644709;0.806701328;1.82095203
methacrylonitrile~|~isopropenylnitrile;67.091;563.0;3.869574604e6;0.2465312;0.872682596;2.22124504
1,1-diphenyltetradecane;350.59;830.0;898050.3754;1.791493626;0.998774528;0.946509912
(1-cyclohexyloxyethyl)benzene;204.313;757.0;2.202477328e6;0.937141188;0.847606632;1.067517273
1,1,2,2,3,3,4,4,5,5,6,6-dodecafluoro-7-(1,1,2,3,3,3-hexafluoropropoxy)heptane;482.1122569;576.0;1.409483323e6;0.651075825;0.86431285;2.334763489
6-butyl-7-hexyl-1,2,3,4-tetrahydronaphthalene;272.476;799.0;1.652744208e6;1.000794855;0.927254961;1.614674573
diphenyl carbonate;214.22;820.0;4.066072162e6;0.930414634;0.93081763;1.434138436
n,n,n'-trimethylurea;102.137;718.0;3.502008189e6;0.588989482;0.446830725;1.413923614
2,6-dimethyl-3-octyldecahydronaphthalene;278.524;799.0;1.253992321e6;1.409064822;0.999687347;0.950166185
1-chlorobutane~|~butyl chloride~|~n-butyl chloride;92.566;539.2;4.010410575e6;0.297455403;0.823918731;1.817948518
pentyl levulinate;186.251;705.0;2.285778886e6;0.422821756;0.837152547;2.768311299
1,2,3-trimethylbenzene;120.195;664.419752;3.453041694e6;1.005557475;0.966971829;0.881749959
1,3-dioxolane, 2-methyl-2-pentyl-;158.241;640.0;2.936967295e6;1.041832245;0.94527392;1.088453445
1-iodohexane~|~1-iodo-hexane;212.07447;666.9;3.449923339e6;0.301888978;0.848686862;2.396368614
trans-bicyclo[3.3.0]octane;110.2;620.0;3.427126526e6;0.915730926;0.361396401;0.667184457
bicyclo[4.1.0]heptane;96.173;594.0;4.066767246e6;1.601477892;0.983345819;0.454700106
1,4,7,10,13,16-hexaoxacyclooctadecane;264.318;841.0;2.810005206e6;1.181333512;0.912715889;1.021814163
trichloronitromethane;164.366;577.0;3.643153878e6;1.392871752;0.99720429;0.580057254
mm~|~hexamethyldisiloxane;162.379;518.66;1.951481814e6;0.213137496;0.830954908;2.884210112
9-methyl-9h-fluorene;180.25;826.0;3.11919338e6;1.123749437;0.961458675;0.864570823
carbon monoxide;28.01;134.1847138;3.707797667e6;0.993818538;0.999990496;0.416561551
r116~|~perfluoroethane~|~hexafluoroethane;138.012419;292.854887;3.022189881e6;0.506824734;0.826828382;1.224304913
pentafluorodimethyl ether ~|~difluoromethoxytrifluoromethane~|~(difluoromethoxy)trifluoromethane~|~difluoromethyl trifluoromethyl ether;136.0210158;354.49;3.356765812e6;0.098491968;0.819102439;3.12012922
1,6-dichlorohexane;155.062;691.0;3.042623024e6;0.215863001;0.812515041;2.682152362
pentyne~|~1-pentyne;68.119;498.4;4.115789745e6;0.642808562;0.998771036;1.002144221
(1r,3s)-1-ethyl-3-methylcyclohexane;126.243;621.0;2.908034528e6;0.419221762;0.818218098;1.566360214
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane;338.0436443;451.0985828;1.879090015e6;0.249271801;0.828791603;2.927367077
2-butenoic acid~|~(z)-2-butenoic acid;86.09;638.0;4.762932895e6;0.720241543;0.886688083;2.048811411
2,2,5-trimethylhexane;128.259;569.88334;2.450509172e6;0.611508758;0.824808939;1.28179037
1-bromo-3-fluorobenzene;175.0004032;652.0;4.160982219e6;0.670658553;0.823341345;0.996335639
.gamma.-decalactone;170.252;773.0;2.535111502e6;0.762422256;0.831711781;1.444680936
1-ethyl-1-methylcyclopentane~|~1-methyl-1-ethylcyclopentane;112.216;595.0;3.33301652e6;0.179813246;0.847628465;2.587591545
2-ethylhexanoic acid~|~2-ethyl-hexanoic acid;144.214;674.4;2.777931145e6;1.526929607;0.999988151;0.940284095
2,3-dihydrobenzo[b]furan;120.151;704.0;4.152740635e6;0.411070952;0.813663661;1.65687328
9-(2-cyclohexylethyl)heptadecane;350.675;810.0;891183.9366;1.23144014;0.940122544;1.448326223
1-chloro-2-propanol;94.538;568.0;4.319562364e6;0.6230873;0.887918816;2.034501941
cyclodecane;140.27;709.0;3.214008697e6;1.094957123;0.998916751;0.728916342
isobutanal~|~2-methylpropanal;72.107;543.61;5.119163835e6;2.012808297;0.629703434;0.344337911
dioctylamine~|~di-n-octylamine~|~octyl-1-octanamine~|~n-octyl-1-octanamine;241.463;740.0;1.328784479e6;1.229736942;0.969030561;1.18625132
r113a~|~1,1,1-trichlorotrifluoroethane~|~1,1,1-trichloro-2,2,2-trifluoroethane;187.3672095;485.0;3.493990766e6;0.174868349;0.849499618;2.557270053
1,3-diiodobenzene;329.90694;879.0;4.727385706e6;1.336017986;0.903123334;0.508667828
1,11-diaminoundecane;186.343;750.0;2.123183268e6;0.776512336;0.755205655;1.460942075
chlorobenzene~|~monochlorobenzene;112.556;632.6207973;4.509147487e6;0.381062144;0.818023238;1.458533293
linalool~|~3,7-dimethyl-1,6-octadien-3-ol;154.253;668.0;2.693210436e6;0.633702251;0.590688206;1.176724919
1,12-dodecanediamine;200.37;767.0;2.004217851e6;1.016550489;0.740128963;1.15311375
1,4-fluoroiodobenzene;222.0008732;704.0;4.733398969e6;0.794334345;0.887601139;0.960650785
heptyl acetate~|~n-heptyl acetate~|~heptyl ethanoate~|~aceticacidheptylester;158.241;634.9;2.144883479e6;0.624473386;0.803657851;1.646509689
r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane;154.4640158;352.9795349;3.138566925e6;0.46102301;0.822539622;1.29868941
isoprene~|~2-methyl-1,3-butadiene;68.119;474.9;3.81277545e6;0.712802134;0.848471355;0.898518513
1,3,5-trichlorobenzene;181.44;712.0;3.435753953e6;1.001266518;0.924593931;0.872380883
m-ethyltoluene~|~1-methyl-3-ethylbenzene~|~1-ethyl-3-methylbenzene;120.195;638.0;3.255096657e6;0.222814624;0.840518083;2.704646737
3-butyl-10-hexylbicyclo[4.4.0]decane;278.524;784.0;1.297533445e6;1.472473893;0.999732096;0.967856867
4-vinylcyclohexene~|~4-ethenylcyclohexene;108.184;621.0;3.783416067e6;0.422305302;0.817870352;1.323242784
2,6-di-tert-butylphenol;206.329;746.0;2.396368817e6;1.436810959;0.999860828;0.693472342
o-tert-butylphenol~|~2-tert-butylphenol~|~2-tert-butyl-1-hydroxybenzene;150.221;718.0;2.875635437e6;1.040560418;0.758800507;0.859229244
n,n-dimethylethanamine;73.139;474.9;3.729393828e6;0.783762017;0.988430818;0.972556757
spiro[5.4]decane;138.254;680.0;2.809308582e6;1.285196439;0.999518971;0.592178622
n-(1-methylethyl)-imidazole;110.16;814.0;5.722922531e6;1.67055494;0.888495245;0.375440652
diethylamine~|~n,n-diethylamine;73.139;499.5291452;3.753985296e6;1.621684888;0.99998369;0.450772692
octylcyclohexane~|~1-cyclohexyloctane;196.378;711.0;1.584207497e6;1.393856153;0.998546044;0.83591942
1-methoxy-2-methylbenzene;122.167;662.0;3.978097476e6;1.239630669;0.99996643;0.731034656
diketene~|~4-methylene-2-oxetanone;84.074;614.0;5.96642567e6;0.843821188;0.972907677;1.158332039
trimethylchlorosilane~|~chlorotrimethylsilane;108.64;497.71;3.201041591e6;0.407299809;0.850051652;1.5632024
1-o-tolyl-1-p-tolylethane;210.32;796.0;1.915663718e6;1.488756257;0.47350364;0.716688036
9-hexylheptadecane;324.637;788.0;963382.3042;1.563437153;0.999463803;0.976333789
2,2-diphenyl-1,3-dioxolane;226.275;806.0;2.455750505e6;1.416879493;0.945563092;0.855251439
3-butyl-4-hexylbicyclo[4.4.0]decane~|~2-butyl-3-hexyldecahydronaphthalene;278.524;814.0;1.161749104e6;2.497106279;0.923314652;0.446468639
methyl valerate~|~methyl pentanoate;116.16;588.92;3.203038594e6;1.185888947;0.869088258;0.725187413
1-fluoro-4-(trifluoromethyl)benzene;164.1026127;553.0;3.469839349e6;0.567264272;0.923662252;1.669643439
trimethylamine;59.112;432.9643115;4.084315455e6;0.624310497;0.836239274;0.936112795
hexene~|~1-hexene~|~hex-1-ene;84.162;504.0691642;3.205325969e6;0.971295026;0.908926493;0.78324822
nonafluoropentanoyl chloride;282.4896285;470.0;1.970697174e6;0.634998697;0.767491565;1.334210879
dmpu~|~n,n'-dimethylpropylene urea~|~1,3-dimethyl-3,4,5,6-tetrahydro-2(1h)-pyrimidinone;128.175;749.0;3.040153162e6;0.16887609;0.819806174;3.114815273
1,7-diphenyl-4-(3-phenylpropyl)-3-heptene;368.564;914.0;977657.8473;2.461018056;0.937439676;0.550618401
hydrogen sulfide;34.076;373.2499847;8.949543796e6;0.897091704;0.956503262;0.555633535
1,3-diphenyl-2-thiapropane;214.326;861.0;2.789964215e6;1.39056986;0.999958461;0.718134129
2-bromoethyl 2-chloroethyl ether;187.461;692.0;3.803090375e6;1.145288398;0.999971695;0.841379383
perfluoropentanoic acid;264.0466285;545.6708318;2.244503029e6;1.187648271;0.950789047;1.337372714
cyclopentadiene~|~1,3-cyclopentadiene;66.103;501.0;4.908375931e6;0.362076435;0.892538313;1.6510757
1-nitrobutane;103.121;625.1;3.30662338e6;0.632797549;0.782399694;1.225438252
n-methylpiperidine;99.177;609.0;4.258649727e6;1.584092856;0.464603945;0.400556658
trans-1,2-dimethylcyclohexane~|~(1r,2r)-1,2-dimethylcyclohexane;112.216;596.1;3.126595921e6;0.379905504;0.830577729;1.559317222
3-methoxypropionitrile~|~3-methoxypropanenitrile;85.106;640.9;3.5199942e6;1.151444195;0.999920438;0.843326603
1-bromo-2-chlorobenzene;191.452;723.0;4.411872722e6;1.102628564;0.999995346;0.741704676
trichloroethene~|~trichloroethylene;131.38;570.0;5.000164266e6;0.444794329;0.820239306;1.273824089
n-butyl methacrylate~|~butyl 2-methyl-2-propenoate~|~methacrylic acid, butyl ester~|~2-methyl-2-propenoicacidbutylester;142.198;614.5;2.730337165e6;0.362965758;0.836520378;2.422367889
1-bromo-3-iodobenzene;282.90647;813.0;4.661862826e6;1.417478234;0.97417365;0.506032779
2-(methoxy)-1,1,2,2-tetrafluoroethane;132.0576127;450.0;2.980704948e6;1.17347588;0.805397866;0.774232958
3-methyl-5-(pentanoyloxy)phenyl pentanoate;292.375;771.0;1.527956388e6;0.942261487;0.8916726;1.991483939
cycloheptane;98.189;604.26;3.849855944e6;0.330580568;0.832762225;1.649580011
octyl propanoate;186.295;665.4;1.966066842e6;0.357593408;0.826950192;2.964332612
tert-butyl chloride~|~2-chloro-2-methylpropane;92.566;498.208;3.911849529e6;0.183947791;0.852373106;2.511674436
1,2-propanediamine;74.127;585.0;5.368090641e6;0.365013547;0.844737343;2.469172579
1-butyl-2-methyl-1h-imidazole;138.214;824.0;3.998078603e6;0.514761147;0.00091579;0.571159442
r123a~|~1,2-dichloro-1,1,2-trifluoroethane~|~1,2-dichloro-1,2,2-trifluoroethane;152.9252095;461.6;3.757542909e6;0.400303131;0.826802372;1.529418988
3,3-dimethyl-1-butyne;82.146;511.0;3.67914189e6;0.418835032;0.980645691;1.108153142
1,1-dimethylcyclopentane;98.189;557.0;3.685819133e6;1.402022516;0.999999304;0.469644917
2-methyl-1-heptene;112.216;567.5;2.6305762e6;0.518617574;0.918859237;1.713559079
(1-octylnonyl)cyclohexane;322.621;795.0;1.013528563e6;1.206244259;0.946205363;1.382964544
acetophenone~|~methyl phenyl ketone;120.151;709.5;4.017069791e6;0.211167319;0.83662489;2.77756659
dimethyl ether;46.069;400.0541816;5.301658699e6;0.831218499;0.88807295;0.744607299
p-ethyltoluene~|~1-ethyl-4-methylbenzene;120.195;640.206975;3.233711784e6;0.400125828;0.843756777;1.851050978
chloroacetic acid~|~chloroethanoic acid;94.494;678.0;5.660538945e6;0.814772603;0.831232686;1.390861774
2-vinyltoluene~|~o-methylstyrene~|~1-methyl-2-vinylbenzene~|~1-ethenyl-2-methylbenzene;118.179;669.0;4.042801791e6;1.130822684;0.952302824;0.730337437
2-azidoethanol;87.082;716.5525423;1.878374615e7;1.188064739;0.899558896;0.82425024
2-cyclohexyleicosane;364.702;817.0;846926.8136;1.691354377;0.986002542;1.074809619
(2-bromoethyl)benzene;185.064;723.0;4.268711708e6;0.894301273;0.972022329;1.164984366
methyl para-toluate~|~methyl 4-methylbenzoate~|~4-methyl-benzoicacidmethylester;150.177;700.0;3.137320435e6;0.420496339;0.858475864;2.418862619
mdm~|~octamethyltrisiloxane;236.533;564.13;1.416272301e6;1.352529005;0.913462593;0.80674813
2-methoxypropene;72.107;478.54;4.176613715e6;0.127765483;0.839763518;2.720816778
1-methyl-3,5-bis(2-methylpropoxy)benzene;236.355;736.0;1.772853186e6;2.344578519;0.692221591;0.647363366
5-butylnonane;184.367;662.0;1.832070261e6;0.95874115;0.957698831;1.27384857
r41~|~fluoromethane~|~methyl fluoride;34.03340316;317.4541195;5.881021283e6;0.227004731;0.87698938;2.164400782
propyl hexanoate;158.241;628.6;2.304340975e6;0.331746846;0.823466415;2.740000462
r11~|~cfcl3~|~trichlorofluoromethane;137.3594032;471.1708344;4.394497676e6;0.744477599;0.862185092;0.791574576
methyl 4-tert-butylbenzoate;192.258;738.0;2.371931119e6;1.193457754;0.999841471;0.978699995
ethyl trifluoroacetate;142.0772095;490.0;3.718177477e6;0.764653699;0.946068335;1.383983807
2-ethoxyethyl acetate~|~2-ethoxyethanolacetate~|~2-ethoxyethyl ethanoate~|~ethylene glycol monoethyl ether acetate;132.159;608.5355027;3.168110408e6;0.262440611;0.825347038;2.996836879
2,2,3-trimethylpentane;114.232;563.462056;2.73092509e6;1.369904882;0.999998271;0.556668818
3-hexyne;82.146;537.3;4.193052281e6;0.498679072;0.839643158;1.465861403
2,3-dimethyl-2-butene;84.162;521.0;3.400578028e6;0.524965536;0.846175898;1.317713894
1,1,5-trichloro-1-(2-chloro-1,1,2,3,3,3-hexafluoropropoxy)-2,2,3,3,4,4,5,5-octafluoropentane;519.8646443;607.0;1.456968587e6;0.625865514;0.884289776;2.077044547
m-chloronitrobenzene~|~3-chloronitrobenzene~|~1-chloro-3-nitrobenzene;157.553;747.0;3.446053818e6;0.840602057;0.872615712;1.078687587
1,2,3,4,6,7,8,9-octahydrophenazine;188.274;794.0;2.38807652e6;0.43963468;0.818635286;2.310689324
2-bromo-1-isobutoxy-4-methylbenzene;243.144;743.0;2.386406009e6;1.343469863;0.998793524;0.860480042
3-methoxythiophene;114.162;638.0;5.062330146e6;0.537013561;0.872559303;1.813336796
methanethiol~|~methyl mercaptan;48.103;469.866686;7.234636873e6;0.805523306;0.885704564;0.68628974
dibenzothiophene;184.256;897.0;3.663829138e6;0.554030045;0.821467018;1.412003343
1-cyclopentyl-4-(3-cyclopentylpropyl)dodecane;348.659;813.0;905015.4714;1.116601972;0.923384814;1.67142445
7-butyl-1-hexylnaphthalene;268.444;833.0;1.540347299e6;1.511043175;0.999235812;0.846893004
2-nonanone;142.242;652.1341463;2.483243336e6;0.370356117;0.814449973;2.276602724
2-phenylpyridine;155.2;809.0;3.53660315e6;1.342171918;0.999986804;0.682304997
3-fluorotoluene~|~1-fluoro-3-methylbenzene;110.1314032;591.8;3.914682628e6;1.093154751;0.999741904;0.721821843
methylethylether~|~ethyl methyl ether;60.096;437.81368;4.394097285e6;1.546914444;0.953351137;0.437559269
1-chloro-2-fluoroethane;82.50240316;510.2;5.041941258e6;1.696741771;0.87587096;0.435709966
cyanogen~|~ethanedinitrile;52.036;397.1282;5.820376865e6;0.214426037;0.838912629;2.381999679
5-nonanone;142.242;641.4;2.359483528e6;1.098192924;0.903110207;0.966516578
butyl 2,2-dimethylpropanoate;158.241;617.0;2.315613423e6;0.857599745;0.809114587;1.055541217
2-norbornene~|~bicyclo[2.2.1]hept-2-ene;94.157;589.0;4.829449839e6;0.740061731;0.999316304;0.92669555
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane;288.035838;421.83374;2.039219448e6;1.526420277;0.999500107;0.602097806
3-methylisoquinoline;143.189;776.0;3.846417909e6;1.343972165;0.965033531;0.692060272
1-(2-aminoethyl)-4-methyl-piperazine;143.234;688.0;3.25555254e6;2.200747499;0.765047079;0.446891167
3-heptene,(e)-;98.189;538.6;2.960062528e6;0.528046405;0.920010078;1.702696376
ethyl 1,1,3,3-tetramethylbutyl ether;158.285;595.0;2.169801998e6;1.05440123;0.884830726;0.928144426
1-chloro-4-vinylbenzene;138.594;700.0;3.615160381e6;1.355517361;0.983478965;0.567504816
(e)-2-hexenal;98.145;625.0;3.78490827e6;0.543770718;0.919518741;1.707649768
methyl methacrylate~|~methacrylic acid methyl ester;100.117;540.26;3.18369799e6;0.341920873;0.840233843;2.308357703
1,4-dimethyl-5-(1-decyl-1-undecenyl)benzene;398.719;828.0;748172.755;1.827005374;0.925309939;0.942304438
cyclobutanone;70.091;592.0;5.671330653e6;1.044586821;0.999588299;0.699547755
1,3-dioxolane;74.079;556.0;6.286846518e6;0.748559031;0.850495079;0.946831645
tame~|~methyl-tert-amylether~|~methyl tert-amyl ether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane;102.177;536.347541;3.191670146e6;0.11484196;0.828350246;2.935515518
benzyl tert-amyl ether;178.275;718.0;2.395843611e6;1.500797303;0.949325045;0.6151104
1,7-dicyclopentyl-4-(3-cyclopentylpropyl)heptane;346.643;824.0;887971.3629;0.999858714;0.903346775;1.866081181
1,1,1,3,3,3-hexafluoro-2-propanol;168.038419;460.0;3.115463363e6;1.059907847;0.41644848;1.073591891
2,2-diisopropyl-1,3-dioxolane;158.241;632.0;3.098525228e6;1.09550744;0.989239429;0.958929017
4-vinyl-1,3-dioxane;114.144;629.0;4.417400896e6;1.202173959;0.94891087;0.709999792
(s)-3,7-dimethyl-6-octen-1-ol;156.269;674.0;2.315993453e6;1.980166901;0.832049263;0.641409012
3,3-dimethyl-2-butanone;100.161;570.92;3.656823548e6;0.168869016;0.837953981;2.737130032
2,2,4,4-tetramethylpentane;128.259;574.611;2.485003628e6;0.526602166;0.840665495;1.370121675
r125~|~pentafluoroethane;120.0220158;339.2024054;3.623182484e6;1.08453069;0.998597625;0.741264386
isobutylbenzene~|~2-methylpropyl benzene~|~(2-methylpropyl)benzene;134.222;650.28258;3.050963387e6;0.343581221;0.837378484;2.074567035
1-amino-2,6-dimethylbenzene;121.183;705.0;3.859940665e6;1.2038807;0.987216161;0.869103933
1-methylethyl benzoate;164.204;696.0;2.784273011e6;0.205374177;0.821883129;3.069785224
2,6-dimethyl-3-octylnaphthalene;268.444;826.0;1.851500863e6;0.849992453;0.891606682;1.992511042
1,4-dioxaspiro[4.4]nonane;128.171;639.0;4.734095709e6;0.65363255;0.902943215;1.546374034
1,3-pentanediamine;102.181;631.0;3.836937044e6;0.224189697;0.824141084;3.021530875
ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol;90.122;599.0;4.406091795e6;1.233423183;0.999903996;0.853630734
1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether;90.122;579.8;4.113151847e6;1.376465868;0.995962519;0.703730972
(e)-2,2,4,6,6-pentamethyl-3-heptene;168.324;652.0;2.059738891e6;0.985079087;0.927348027;1.613663142
spiro[5.5]undecane;152.281;718.0;3.129867209e6;0.659208027;0.813393375;1.116895889
2-methyl-1-octyl-1h-imidazole;194.322;851.0;2.803231087e6;1.062011569;0.555164152;0.762444059
2,3,4-trimethylpentane;114.232;566.372638;2.7085889e6;0.379291525;0.81401226;1.635789827
2,4,6-trimethylstyrene;146.233;695.0;2.761838836e6;1.337696725;0.889238868;0.674240795
ether, benzyl tert-butyl;164.248;704.0;2.578406927e6;1.254131922;0.88551097;0.698943729
ethylcyclohexane;112.216;606.9;3.2679512e6;0.523012662;0.846087752;1.326916082
2-dimethylamino-1-ethylamine;88.154;561.0;4.241827605e6;1.02582406;0.998428693;1.006261512
2-methyl-4-(1-methylethyl)phenol;150.221;716.0;2.93199987e6;2.167483449;0.921946784;0.470155531
anisole~|~methoxybenzene~|~methyl phenyl ether;108.14;646.1;4.208519793e6;0.358072226;0.82059719;1.835171143
2-amino-2-methyl-1-propanol~|~2-amino-2-methylpropan-1-ol;89.138;611.0;4.228815248e6;1.068431877;0.865815382;1.29676235
chroman~|~3,4-dihydro-2h-1-benzopyran;134.178;730.0;3.79493299e6;1.221599536;0.995761866;0.704481954
3,5-xylenol~|~3,5-dimethylphenol;122.167;715.56428;3.67842065e6;1.463716829;0.833487029;0.717603893
9-methyl-9h-carbazole;181.238;848.0;2.225403352e6;1.274051102;0.999905683;0.880765259
2-methylbutyl ethanoate;130.187;586.1;2.890551245e6;0.643241742;0.92319393;1.673901772
diethylmethylamine~|~methyl diethyl amine~|~n,n-diethylmethylamine;87.166;509.0;3.24396417e6;1.057841425;0.897618571;0.702347333
methyl 3,3-dimethylbutanoate;130.187;565.3;2.861043573e6;0.31073502;0.84140493;2.692441125
piperidine;85.15;594.136;4.654125826e6;0.825483829;0.823013165;0.815726906
methylbutyrate~|~methyl butanoate~|~methyl n-butyrate;102.133;554.421;3.494214907e6;0.367632249;0.79493541;1.797848976
r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene;130.4942095;438.75;3.572609717e6;0.464667225;0.827231125;1.46154866
cyclopentane;70.135;511.7405846;4.515053817e6;0.93856879;0.909443521;0.662595698
(3-octylundecyl)benzene~|~9-(2-phenylethyl)heptadecane;344.627;813.0;945374.5533;1.30915497;0.950289165;1.340908015
1-hexen-3-ol;100.161;596.0;3.596944657e6;2.609795578;0.856043116;0.391861983
water;18.015;647.108143;2.207189444e7;0.532353875;0.878018035;1.491389211
octane~|~n-octane;114.232;568.7879087;2.486767247e6;0.351757574;0.824878278;2.054953501
n-decyl levulinate;256.386;740.0;1.98157732e6;0.768447649;0.864852728;2.327266573
tin(iv) chloride~|~stannic chloride~|~tin tetrachloride;260.51;591.88587;3.743801168e6;0.146930382;0.840958966;2.700432172
2,3-dimethylnaphthalene;156.228;778.0;2.994124527e6;0.510286709;0.825679569;1.673932962
2,5,6-trimethyl-2-cyclohexen-1-one;138.21;680.0;2.924413708e6;0.259491139;0.842538379;2.630710657
1-heptyne;96.173;564.2;4.190916805e6;0.23120593;0.847848701;2.584023678
chlorotrifluoroethylene~|~1-chloro-1,2,2-trifluroethene;116.4672095;379.52528;4.092246809e6;0.496188456;0.830326475;1.222664696
2-(ethylamino)ethanol~|~mono-ethyl-ethanolamine;89.138;671.0;5.319313024e6;1.191197801;0.737928711;0.808709608
1,3-dioxolane, 2-propyl-;116.16;599.0;3.897330978e6;1.211345085;0.914742641;0.731354605
dichlorodimethylsilane~|~dimethyl dichlorosilane;129.055;520.31;3.480079666e6;1.162603253;0.999862906;0.640174286
perfluorononanoic acid;464.0778538;601.0;1.456777101e6;2.672524961;0.97261116;0.595310676
4-ethyl-m-xylene~|~1-ethyl-2,4-dimethylbenzene;134.222;663.0;2.866182624e6;0.36301569;0.864767401;2.318053307
1-p-propylphenyl-1-p-tolylethane;238.374;809.0;2.28472744e6;0.737095005;0.904342627;1.85588978
1-butyl-1h-benzimidazole;174.247;890.0;3.428384295e6;0.259073358;0.761858958;1.996103549
(2-chloroethyl) (2-chloroisopropyl) ether;157.034;657.0;3.234916003e6;1.114577509;0.999883053;0.890341158
ethyl 3-methyl-2-butenoate;128.171;591.0;3.23181548e6;0.595345528;0.861107857;1.921249492
(1-decylundecyl)cyclopentane;364.702;814.0;839917.392;1.180877286;0.927734737;1.607532329
sulfur dioxide;64.058;430.6605741;7.815548792e6;0.388251213;0.817619478;1.449635852
1,1,2,2-tetrafluoroethyl-trifluoromethylether~|~1,1,2,2-tetrafluoro-1-(trifluoromethoxy)ethane;186.0288221;387.7629171;2.644277053e6;1.725928725;0.975004844;0.534569401
tert-butyl phenyl carbonate;194.23;716.0;2.620286597e6;1.432121423;0.942060064;0.742108263
benzoylferrocene;290.143;886.0;1.583873758e6;1.136808304;0.961721323;1.230297038
1,3-dioxolane, 2-methyl-2-propyl-;130.187;630.0;3.583779462e6;0.465358625;0.630022203;1.032916378
methyl octanoate~|~methyl caprylate~|~octanoic acid methyl ester;158.241;630.1;1.902715116e6;1.038962053;0.879319616;1.11552629
1,1-dicyclohexyltetradecane;362.686;838.0;932462.3972;1.517260494;0.818616574;1.105760901
empenthrin;274.404;718.0;1.352448806e6;0.607874938;0.799059857;2.270767004
diethylenetriamine~|~di(2-aminoethyl)amine~|~(2-aminoethyl)-1,2-ethanediamine~|~n-(2-aminoethyl)-1,2-ethanediamine;103.169;709.8;4.39383149e6;1.646896597;0.99434238;0.576475273
5-butyldocosane;366.718;801.0;760164.4127;1.766617443;0.999855511;0.980299669
4-iodotoluene;218.03747;739.0;4.448230572e6;0.961507738;0.999905377;0.928023444
gamma-heptanolactone~|~2(3h)-furanone, dihydro-5-propyl-;128.171;743.0;3.70683305e6;0.437169721;0.837975528;2.011137817
1,4-di-tert-butylbenzene~|~1,4-bis(1,1-dimethylethyl)benzene~|~1,4-bis(1,1-dimethylethyl)-benzene;190.33;708.0;2.229060393e6;0.420083625;0.794265624;1.958954248
