Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
cis-2,5-dimethyltetrahydrothiophene;116.222;635.0;3.89768876e6;0.17629902;0.845438635;2.623878768
1-(isopropylthio)propane;118.238;598.6;3.153757286e6;0.259556631;0.82174849;2.199108305
perfluoro-n,n-bis-propyl-1-propanamine~|~1,1,2,2,3,3,3-heptafluoro-n,n-bis(heptafluoropropyl)-1-propanamine;521.0724664;523.78;1.35600619e6;0.515525419;0.774639219;1.980487322
tetrahydro-2,5-dimethylthiophene;116.222;634.0;3.679334377e6;0.991396524;0.906478952;0.728016831
octane, 1,2-dibromo-;272.024;739.0;2.580086885e6;0.22805466;0.829322161;2.916655814
cyclopentyl-1-thiaethane;116.222;657.0;4.002795236e6;0.202143132;0.833027579;2.354787509
2-methyl-3-phenyl-2-propenal;146.189;756.0;3.347807843e6;0.400245704;0.806762742;2.026797364
(phenoxymethyl)oxirane~|~2-phenoxymethyloxirane~|~(phenoxymethyl)-oxirane~|~1,2-epoxy-3-phenoxypropane;150.177;737.0;3.296108885e6;0.232508674;0.820910156;3.090902595
perfluoromethylcyclopentane~|~nonafluoro(trifluoromethyl)-cyclopentane;300.046838;451.43;2.18109258e6;0.199583121;0.811868796;2.761524091
2h-thiopyran, tetrahydro-3-methyl-;116.222;665.0;3.923866276e6;1.160110033;0.994971957;0.609433358
1-propene, 1,1,2,3,3,3-hexachloro-;248.733;743.0;4.146862419e6;0.222170606;0.832046453;2.350901766
bicyclo[5.3.0]deca-2,4,6,8,10-pentaene;128.174;787.0;3.791728828e6;0.477365008;0.82504632;1.4655405
perfluorobutanoic acid~|~heptafluorobutanoic acid~|~butanoic acid, heptafluoro-;214.0388221;527.0;2.499885818e6;0.677293346;0.80099384;1.984300768
dimethyl-2,6-naphthalenedicarboxylate~|~dimethyl 2,6-naphthalenedicarboxylate~|~2,6-naphthalenedicarboxylicaciddimethylester;244.246;864.0;1.996794367e6;0.66053305;0.812562354;1.88674149
1,1-dichloroheptane;169.089;661.0;2.726154692e6;0.202032142;0.827737444;2.948346698
methyl p-iodobenzoate;262.04647;776.0;4.024840056e6;0.69593491;0.905064369;1.789150335
1-methyl-1-phenylhydrazine;122.171;738.0;4.078046932e6;0.449565036;0.819094588;1.873320786
cyclohexane, undecafluoro(pentafluoroethyl)-;400.0624506;499.0;1.533775766e6;0.223435309;0.818821998;3.13660026
ethenetetramine, octamethyl-;200.33;646.0;1.633062308e6;0.387852037;0.806982199;2.072101273
2-methyl-2-pentanethiol;118.238;600.8;3.448664415e6;0.170339828;0.843259067;2.660707085
2-(1-methylethyl)thiophene;126.217;645.0;3.8469321e6;0.17492966;0.841018689;2.698412761
2,3-dihydro-1,1-dimethyl-1h-indene;146.233;694.0;3.375697514e6;0.279481572;0.821707743;2.119099656
1,1,2-trichloro-1,2-difluoroethane;169.3768063;528.0;3.872868682e6;0.265012369;0.831097583;2.039743253
4-methylthiazole;99.151;637.0;5.670821439e6;0.211285332;0.848806882;2.568442403
1,2-dichloroheptane;169.089;671.0;2.779468688e6;0.254638864;0.823471962;2.536642665
2-methylthiacyclohexane;116.222;661.0;4.137523856e6;0.166866815;0.849624109;2.554731463
perfluoro-di-n-butylether~|~bis(nonafluorobutyl) ether;454.0582569;486.0;1.343605509e6;0.284375379;0.808671804;3.06001176
2-methylthiazole;99.151;634.0;5.490819493e6;0.918168116;0.907326012;0.807211979
