Clapeyron Database File
Rackett Compresibility Factor Single Parameters
species,ZRA
"[3-(2,3-epoxyproxy)propyl]trimethoxysilane",0.2347
"1,1,1,2,2-pentafluoropropane",0.2658
"1,1,1,2,3,3,3-heptafluoropropane",0.2654
"1,1,1,2,3,3-hexafluoropropane",0.2654
"1,1,1,2-tetrachlorodifluoroethane",0.2623
"1,1,1,2-tetrachloroethane",0.2611
"1,1,1,2-tetrafluoroethane",0.2596
"1,1,1,3,3,3-hexafluoropropane",0.2654
"1,1,1,3,3-pentafluorobutane",0.273
"1,1,1,3,3-pentafluoropropane",0.2636
"1,1,1-trichloroethane",0.2706
"1,1,1-trichlorotrifluoroethane",0.267
"1,1,1-trifluoroethane",0.2567
"1,1,2,2,3-pentafluoropropane",0.2668
"1,1,2,2-tetrachloroethane",0.2545
"1,1,2,2-tetrafluoroethane",0.2691
"1,1,2-trichloroethane",0.258
"1,1,2-trichlorotrifluoroethane",0.272
"1,1,2-trifluoroethane",0.2625
"1,1,2-trimethylcyclopentane",0.2622
"1,1,3-trimethylcyclohexane",0.2776
"1,1,3-trimethylcyclopentane",0.2621
"1,1-dibromoethane",0.2992
"1,1-dichloro-1-fluoroethane",0.2753
"1,1-dichloroethane",0.2744
"1,1-dichloroethylene",0.2763
"1,1-dichloropropane",0.2602
"1,1-dichlorotetrafluoroethane",0.2747
"1,1-diethylcyclohexane",0.2567
"1,1-difluoroethane",0.2538
"1,1-difluoroethylene",0.2713
"1,1-dimethoxyethane",0.266
"1,1-dimethylcyclohexane",0.2602
"1,1-dimethylcyclopentane",0.2779
"1,1-diphenylethane",0.2548
"1,2,3,4-tetrahydronaphthalene",0.2609
"1,2,3,4-tetramethylbenzene",0.2564
"1,2,3,4-tetramethylcyclohexane",0.2567
"1,2,3,5-tetraethylbenzene",0.2494
"1,2,3,5-tetramethylbenzene",0.2543
"1,2,3,6-tetrahydrobenzaldehyde",0.2615
"1,2,3-trichlorobenzene",0.2818
"1,2,3-trichloropropane",0.2419
"1,2,3-trimethyl-4-ethylbenzene",0.2543
"1,2,3-trimethylbenzene",0.2579
"1,2,4,5-tetramethylbenzene",0.2497
"1,2,4-triethylbenzene",0.2513
"1,2,4-trimethyl-3-ethylbenzene",0.2561
"1,2,4-trimethyl-5-ethylbenzene",0.2531
"1,2,4-trimethylbenzene",0.2564
"1,2-butadiene",0.2619
"1,2-dibromoethane",0.2663
"1,2-dibromotetrafluoroethane",0.2712
"1,2-dichloro-1,1,2-trifluoroethane",0.2642
"1,2-dichlorobutane",0.2528
"1,2-dichloroethane",0.266
"1,2-dichloropropane",0.2604
"1,2-dichlorotetrafluoroethane",0.2728
"1,2-diethoxyethane",0.2566
"1,2-dimethoxyethane",0.2607
"1,2-diphenylethane",0.2518
"1,2-epoxy-3-phenoxypropane",0.2322
"1,2-epoxybutane",0.257
"1,2-pentadiene",0.2574
"1,2-propanediamine",0.2756
"1,2-propylene oxide",0.2473
"1,3,5-trichlorobenzene",0.2559
"1,3,5-triethylbenzene",0.2485
"1,3-benzenediol",0.2904
"1,3-butadiene",0.2708
"1,3-butanediol",0.2165
"1,3-cyclohexadiene",0.2796
"1,3-dichloro-2-propanol",0.2557
"1,3-dichloropropane",0.2468
"1,3-dimethyladamantane",0.2782
"1,3-dioxane",0.2691
"1,3-propylene glycol",0.3052
"1,3-propylene oxide",0.2535
"1,4-butanediisocyanate",0.2245
"1,4-cyclohexadiene",0.2721
"1,4-dibromobenzene",0.2739
"1,4-dichlorobutane",0.243
"1,4-dioxane",0.2682
"1,4-di-tert-butylbenzene",0.269
"1,4-hexadiene",0.2636
"1,4-pentadiene",0.273
"1,5-cyclooctadiene",0.2768
"1,5-dichloropentane",0.2419
"1,5-hexadiene",0.2641
"1,5-pentanediamine",0.2602
"1,5-pentanediol",0.237
1-amino-2-propanol,0.2592
1-bromobutane,0.2683
1-bromoheptane,0.2642
1-bromonaphthalene,0.2543
1-bromopropane,0.2659
1-butanol,0.2549
1-butene,0.2738
"1-chloro-1,1-difluoroethane",0.2668
1-chloronaphthalene,0.2464
1-chloropentane,0.2567
"1-cis-2-trans-4-trimethylcyclopentane~|~(1r,2s)-1,2,4-trimethylcyclopentane",0.2605
1-decanol,0.2493
1-decene,0.2556
1-decyne,0.2577
1-dodecanol,0.2448
1-dodecene,0.2488
1-eicosene,0.2388
1-ethyl-2-isopropylbenzene,0.2561
1-ethylcyclohexene,0.2628
1-ethylnaphthalene,0.2572
1-heptadecene,0.2421
1-heptanol,0.2617
1-heptene,0.2649
1-heptyne,0.2677
1-hexadecanol,0.2364
1-hexadecene,0.2424
1-hexanol,0.2544
1-hexene,0.2674
1-hexyne,0.2698
1-isopropoxy-2-propanol,0.2768
1-methyl-1-ethylcyclopentane,0.2656
1-methyl-2-n-propylbenzene,0.259
1-methyl-3-n-propylbenzene,0.2584
1-methyl-4-n-propylbenzene,0.2608
1-methyl-4-vinylcyclohexene,0.262
1-methylcyclopentene,0.2728
1-methylindene,0.2556
1-methylnaphthalene,0.2561
1-methylvinyl acetate,0.2794
1-nitropropane,0.2447
1-nonadecene,0.2401
1-nonanol,0.2492
1-nonene,0.2591
1-nonyne,0.2615
1-octadecanol,0.2327
1-octadecene,0.2412
1-octanol,0.2549
1-octene,0.2625
1-octyne,0.2642
1-pentadecene,0.2445
1-pentanol,0.2561
1-pentene,0.2702
1-pentyne,0.2825
1-phenylnaphthalene,0.2443
1-propanol,0.2511
1-tetradecanol,0.2416
1-tetradecene,0.2425
"1-trans-3,5-trimethylcyclohexane",0.2716
1-tridecanol,0.2423
1-tridecene,0.2456
1-undecanol,0.2479
1-undecene,0.2521
2-(2-hexoxyethoxy)ethanol,0.2669
"2-(difluoromethoxy)-1,1,1-trifluoroethane",0.2638
"2,2,3,3-tetramethylbutane",0.2742
"2,2,3,3-tetramethylhexane",0.2693
"2,2,3,3-tetramethylpentane",0.2708
"2,2,3,4-tetramethylpentane",0.2687
"2,2,3-trimethylbutane",0.2712
"2,2,3-trimethylpentane",0.266
"2,2,4,4,6,8,8-heptamethylnonane",0.2509
"2,2,4,4-tetramethylpentane",0.2697
"2,2,4-trimethyl-1,3-pentanediol",0.2363
"2,2,4-trimethylpentane",0.2677
"2,2,5,5-tetramethylhexane",0.2653
"2,2,5-trimethylhexane",0.2635
"2,2-dichloro-1,1,1-trifluoroethane",0.2676
"2,2-dimethyl-3-ethylpentane",0.269
"2,2-dimethylbutane",0.2736
"2,2-dimethylheptane",0.2628
"2,2-dimethylhexane",0.2641
"2,2-dimethyloctane",0.2582
"2,2-dimethylpentane",0.2668
