Clapeyron Database File
saturated molar volume at 0.7Tc - Single Parameters (from CoolProp)
species,v_exp_07
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",0.0001086945539253862
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",7.666233508269468e-5
"r152a~|~difluoroethane~|~1,1-difluoroethane",6.843991412840586e-5
hexane~|~n-hexane,0.00014371525246518078
ethanol,6.331300021413498e-5
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",8.97431906619335e-5
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",0.00020153489249161188
nitrous oxide~|~dinitrogen monoxide,3.890303558940279e-5
dimethyl carbonate~|~carbonic acid dimethyl ester,9.634356061806983e-5
isohexane~|~2-methylpentane,0.00014363789148068496
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",0.00010676259837062013
butane~|~n-butane,0.0001013487018750351
r218~|~perfluoropropane~|~octafluoropropane,0.0001181619650324952
r116~|~perfluoroethane~|~hexafluoroethane,8.850109217832227e-5
r11~|~cfcl3~|~trichlorofluoromethane,9.826718035054082e-5
carbon dioxide,3.693250458697848e-5
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,0.000388732633682553
paradeuterium,2.62363317340439e-5
diethyl ether,0.00011024193789576919
ethene~|~ethylene~|~1-ethylene,5.3433259627923376e-5
propane~|~n-propane,8.058286833031535e-5
xenon,4.913882185359481e-5
