Clapeyron Database File,,,,,,,,
softSAFT Assoc Parameters,,,,,,,,
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source
methanol,CO,H,methanol,CO,e,3213.0,4.847e-27,
ethanol,CCO,H,ethanol,CCO,e,3387.0,2.641e-27,
water,O,H,water,O,e,2388.0,2.932e-27,
propanol~|~1-propanol~|~propan-1-ol,CO,H,propanol~|~1-propanol~|~propan-1-ol,CO,e,3600.0,2.3e-27,
