Clapeyron Estimator,,,
isobaric_expansion,,,
p,T,id,out_isobaric_expansion
5.00E+06,278.15,1,0.000613
1.00E+07,298.15,1,0.000605
1.50E+07,298.15,1,0.000596
2.00E+07,298.15,1,0.000591
2.50E+07,298.15,1,0.000585
3.00E+07,298.15,1,0.00058
3.50E+07,298.15,1,0.000574
4.00E+07,298.15,1,0.000567
4.50E+07,298.15,1,0.00056
5.00E+07,298.15,1,0.000555
5.00E+06,298.15,1,0.000614
1.00E+07,298.15,1,0.000602
1.50E+07,298.15,1,0.000591
2.00E+07,298.15,1,0.000587
2.50E+07,298.15,1,0.000581
3.00E+07,298.15,1,0.000574
3.50E+07,298.15,1,0.000569
4.00E+07,298.15,1,0.000561
4.50E+07,298.15,1,0.000556
5.00E+07,298.15,1,0.000554
5.00E+06,298.15,1,0.000601
1.00E+07,298.15,1,0.000596
1.50E+07,298.15,1,0.000587
2.00E+07,298.15,1,0.00058
2.50E+07,298.15,1,0.000575
3.00E+07,298.15,1,0.000568
3.50E+07,298.15,1,0.000561
4.00E+07,298.15,1,0.000554
4.50E+07,298.15,1,0.000549
5.00E+07,298.15,1,0.000545
5.00E+06,298.15,1,0.000597
1.00E+07,298.15,1,0.000589
1.50E+07,298.15,1,0.000581
2.00E+07,298.15,1,0.000573
2.50E+07,298.15,1,0.000566
3.00E+07,298.15,1,0.000561
3.50E+07,298.15,1,0.000554
4.00E+07,298.15,1,0.00055
4.50E+07,298.15,1,0.000542
5.00E+07,298.15,1,0.000537
5.00E+06,298.15,1,0.000589
1.00E+07,298.15,1,0.000585
1.50E+07,298.15,1,0.000576
2.00E+07,298.15,1,0.000569
2.50E+07,298.15,1,0.000563
3.00E+07,298.15,1,0.000556
3.50E+07,298.15,1,0.00055
4.00E+07,298.15,1,0.000544
4.50E+07,298.15,1,0.000537
5.00E+07,298.15,1,0.000532
5.00E+06,298.15,1,0.000585
1.00E+07,298.15,1,0.000578
1.50E+07,298.15,1,0.000573
2.00E+07,298.15,1,0.000566
2.50E+07,298.15,1,0.000557
3.00E+07,298.15,1,0.00055
3.50E+07,298.15,1,0.000544
4.00E+07,298.15,1,0.000537
4.50E+07,298.15,1,0.000533
5.00E+07,298.15,1,0.000528
5.00E+06,298.15,1,0.000582
1.00E+07,298.15,1,0.000574
1.50E+07,298.15,1,0.000569
2.00E+07,298.15,1,0.00056
2.50E+07,298.15,1,0.000553
3.00E+07,298.15,1,0.000549
3.50E+07,298.15,1,0.00054
4.00E+07,298.15,1,0.000534
4.50E+07,298.15,1,0.000529
5.00E+07,298.15,1,0.000525
5.00E+06,298.15,1,0.000579
1.00E+07,298.15,1,0.000574
1.50E+07,298.15,1,0.000566
2.00E+07,298.15,1,0.000562
2.50E+07,298.15,1,0.000554
3.00E+07,298.15,1,0.000546
3.50E+07,298.15,1,0.00054
4.00E+07,298.15,1,0.000533
4.50E+07,298.15,1,0.000527
5.00E+07,298.15,1,0.000521
