Clapeyron Estimator,,,,
density_,,,,
p,T,Cid,Aid,out_density
101325,278.15,,,
101325,283.15,,,
101325,288.15,,,
101325,293.15,,,
101325,298.15,,,
101325,303.15,,,
101325,308.15,,,
101325,313.15,,,
101325,318.15,,,
101325,323.15,,,
101325,328.15,,,
101325,333.15,,,
101325,338.15,,,
101325,343.15,,,
101325,348.15,,,
101325,353.15,,,
101325,358.15,,,
101325,363.15,,,
