Clapeyron Estimator,,,,
speedofsound,,,,
p,T,Cid,Aid,out_speedofsound
101325,293.15,8,1,1495.6
101325,298.15,8,1,1482.2
101325,303.15,8,1,1468.7
101325,308.15,8,1,1454.4
101325,313.15,8,1,1441.3
101325,318.15,8,1,1428.3
101325,323.15,8,1,1414.2
101325,328.15,8,1,1401.2
101325,333.15,8,1,1388.2
101325,338.15,8,1,1375.1
101325,343.15,8,1,1361.1
