Clapeyron Database File
homo-gc-PCPSAFT Assoc Parameters
species1,site1,species2,site2,epsilon_assoc,bondvol
CH=O,H,CH=O,e,2508.568605957324,0.006825
>C=O~|~C=O,H,>C=O~|~C=O,e,2109.2307097378066,0.006825
OCH3,H,OCH3,e,1608.5313444575868,0.006825
OCH2,H,OCH2,e,1608.5313444575868,0.006825
HCOO,H,HCOO,e,1162.0362135393,0.006825
COO,H,COO,e,1510.936433363258,0.006825
OH,H,OH,e,2517,0.006825
NH2,H,NH2,e,1064.6,0.026662
