Clapeyron Database File
homosegmented GC-PCPSAFT unlike Parameters
species1,species2,k,source
>CH~|~CH,C≡CH~|~CH#C,-0.18371738189391876,10.1007/s10765-023-03290-3
CH2,C≡CH~|~CH#C,0.06723310157310154,10.1007/s10765-023-03290-3
CH3,C≡CH~|~CH#C,0.1511413084403949,10.1007/s10765-023-03290-3
>C<~|~C,C_arom~|~aC,-0.30968501322545716,10.1007/s10765-023-03290-3
>C<~|~C,CH_arom~|~aCH,-0.040269683728406204,10.1007/s10765-023-03290-3
CH3,CH_arom~|~aCH,0.045398744853650204,10.1007/s10765-023-03290-3
CH2,C_arom~|~aC,-0.06242075545369085,10.1007/s10765-023-03290-3
CH3,C_arom~|~aC,0.11447930753452223,10.1007/s10765-023-03290-3
>CH~|~CH,C_arom~|~aC,-0.4158624775122392,10.1007/s10765-023-03290-3
CH2,CH_arom~|~aCH,0.0037160477290278044,10.1007/s10765-023-03290-3
>CH~|~CH,CH_arom~|~aCH,-0.0367766719917285,10.1007/s10765-023-03290-3
CH2,CH=O,0.12305359647909934,10.1007/s10765-023-03290-3
CH3,CH=O,0.10187469034871167,10.1007/s10765-023-03290-3
>C=O~|~C=O,CH2,0.046191053863637005,10.1007/s10765-023-03290-3
>C<~|~C,>C=O~|~C=O,0.24968925951397747,10.1007/s10765-023-03290-3
>C=O~|~C=O,CH3,0.07726883079913838,10.1007/s10765-023-03290-3
>C=O~|~C=O,>CH~|~CH,-0.00045276712110988197,10.1007/s10765-023-03290-3
CH3,OCH3,0.08814654061145145,10.1007/s10765-023-03290-3
>C<~|~C,OCH2,0.21912131451666356,10.1007/s10765-023-03290-3
CH2,OCH3,0.037965107676736554,10.1007/s10765-023-03290-3
CH2,OCH2,-0.03712493649357425,10.1007/s10765-023-03290-3
CH3,OCH2,0.04716136386377694,10.1007/s10765-023-03290-3
>CH~|~CH,OCH3,-0.03323101683228677,10.1007/s10765-023-03290-3
>CH~|~CH,OCH2,-0.22046996759454948,10.1007/s10765-023-03290-3
>C<~|~C,OCH3,0.03790972682658586,10.1007/s10765-023-03290-3
CH3,HCOO,0.045977954235034764,10.1007/s10765-023-03290-3
CH2,HCOO,0.11244290547170076,10.1007/s10765-023-03290-3
>CH~|~CH,COO,0.1801469645626566,10.1007/s10765-023-03290-3
CH2,COO,0.08394999787145262,10.1007/s10765-023-03290-3
>C<~|~C,COO,0.21416752231606875,10.1007/s10765-023-03290-3
CH3,COO,0.04317047138905919,10.1007/s10765-023-03290-3
=CH~|~CH=,C≡CH~|~CH#C,-0.0423021283854757,10.1007/s10765-023-03290-3
=C<~|~C=,C≡CH~|~CH#C,-0.3679698871258342,10.1007/s10765-023-03290-3
=CH2~|~CH2=,C≡CH~|~CH#C,0.12850802400950342,10.1007/s10765-023-03290-3
=CH2~|~CH2=,CH_arom~|~aCH,0.07134226132398278,10.1007/s10765-023-03290-3
=C<~|~C=,C_arom~|~aC,-0.2659542702867626,10.1007/s10765-023-03290-3
=C<~|~C=,CH_arom~|~aCH,-0.1210112284636777,10.1007/s10765-023-03290-3
=CH~|~CH=,C_arom~|~aC,-0.06577965904642215,10.1007/s10765-023-03290-3
=CH2~|~CH2=,C_arom~|~aC,-0.08233061709834949,10.1007/s10765-023-03290-3
=CH~|~CH=,CH_arom~|~aCH,-0.02777227236233225,10.1007/s10765-023-03290-3
=CH2~|~CH2=,>C=O~|~C=O,0.01870397276432888,10.1007/s10765-023-03290-3
=CH~|~CH=,>C=O~|~C=O,-0.07924746094295501,10.1007/s10765-023-03290-3
=C<~|~C=,>C=O~|~C=O,-0.3890984918446064,10.1007/s10765-023-03290-3
=C<~|~C=,OCH3,-0.26406219612376053,10.1007/s10765-023-03290-3
=CH~|~CH=,OCH3,0.08211035721381005,10.1007/s10765-023-03290-3
=C<~|~C=,OCH2,-0.22103185453388233,10.1007/s10765-023-03290-3
=CH2~|~CH2=,OCH3,-0.05488229227924732,10.1007/s10765-023-03290-3
=CH~|~CH=,OCH2,0.12042046990948997,10.1007/s10765-023-03290-3
=CH2~|~CH2=,OCH2,-0.16082219040056,10.1007/s10765-023-03290-3
=CH~|~CH=,HCOO,-0.04924693944343094,10.1007/s10765-023-03290-3
=C<~|~C=,HCOO,-0.04924693944343094,10.1007/s10765-023-03290-3
=CH~|~CH=,COO,-0.07465466121913379,10.1007/s10765-023-03290-3
=C<~|~C=,COO,-0.20912851003958197,10.1007/s10765-023-03290-3
=CH2~|~CH2=,COO,-0.1873284020798118,10.1007/s10765-023-03290-3
C_arom~|~aC,C≡CH~|~CH#C,-0.06996738062245225,10.1007/s10765-023-03290-3
CH_arom~|~aCH,C≡CH~|~CH#C,-0.06997816145785027,10.1007/s10765-023-03290-3
CH=O,C≡CH~|~CH#C,-0.8036084995749746,10.1007/s10765-023-03290-3
>C=O~|~C=O,C≡CH~|~CH#C,-0.7245616793983386,10.1007/s10765-023-03290-3
C≡CH~|~CH#C,OCH3,-0.6973014503254631,10.1007/s10765-023-03290-3
C≡CH~|~CH#C,OCH2,-0.7124635912791397,10.1007/s10765-023-03290-3
C≡CH~|~CH#C,HCOO,-0.6491906341393756,10.1007/s10765-023-03290-3
COO,C≡CH~|~CH#C,-0.7706507183991701,10.1007/s10765-023-03290-3
C≡CH~|~CH#C,OH,-0.3953272203288893,10.1007/s10765-023-03290-3
CH_arom~|~aCH,C_arom~|~aC,-0.03992936106292302,10.1007/s10765-023-03290-3
C_arom~|~aC,C_arom~|~aC,-0.24630026810220787,10.1007/s10765-023-03290-3
CH_arom~|~aCH,CH_arom~|~aCH,-0.0017874528445781402,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,CH_arom~|~aCH,0.016756385671790754,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,C_arom~|~aC,-0.2096597639152752,10.1007/s10765-023-03290-3
