Clapeyron Database File
homosegmented GC-PCPSAFT unlike Parameters
species1,species2,k,source
=CH2_hex~|~cCH2_hex,C_arom~|~aC,0.012541534230376803,10.1007/s10765-023-03290-3
CH_arom~|~aCH,CH_hex~|~cCH_hex,-0.005184457928999869,10.1007/s10765-023-03290-3
CH_pent~|~cCH_pent,C_arom~|~aC,-0.030135433813644724,10.1007/s10765-023-03290-3
CH2_pent~|~cCH2_pent,CH_arom~|~aCH,0.016163719207036752,10.1007/s10765-023-03290-3
CH2_pent~|~cCH2_pent,C_arom~|~aC,-0.03015381422551497,10.1007/s10765-023-03290-3
CH_arom~|~aCH,CH_pent~|~cCH_pent,-0.0012280619452513725,10.1007/s10765-023-03290-3
CH=O,CH_arom~|~aCH,-0.07298686010226767,10.1007/s10765-023-03290-3
CH=O,C_arom~|~aC,-0.03477418604459808,10.1007/s10765-023-03290-3
>C=O~|~C=O,CH_arom~|~aCH,-0.17737259526633692,10.1007/s10765-023-03290-3
>C=O~|~C=O,C_arom~|~aC,-0.20890507062777522,10.1007/s10765-023-03290-3
CH_arom~|~aCH,OCH2,-0.16191196233780558,10.1007/s10765-023-03290-3
C_arom~|~aC,OCH3,-0.17062941897764702,10.1007/s10765-023-03290-3
C_arom~|~aC,OCH2,-0.1143281639880095,10.1007/s10765-023-03290-3
CH_arom~|~aCH,OCH3,-0.05806913031673688,10.1007/s10765-023-03290-3
C_arom~|~aC,HCOO,0.05952617082632797,10.1007/s10765-023-03290-3
CH_arom~|~aCH,HCOO,-0.07251503775066634,10.1007/s10765-023-03290-3
COO,C_arom~|~aC,-0.20843873998066137,10.1007/s10765-023-03290-3
CH_arom~|~aCH,COO,-0.1466481167221345,10.1007/s10765-023-03290-3
CH_arom~|~aCH,OH,-0.04264238269571497,10.1007/s10765-023-03290-3
C_arom~|~aC,OH,0.0955212536852117,10.1007/s10765-023-03290-3
CH_arom~|~aCH,NH2,-0.13578656303759865,10.1007/s10765-023-03290-3
C_arom~|~aC,NH2,0.3245677118846664,10.1007/s10765-023-03290-3
CH=O,CH_hex~|~cCH_hex,0.18126133081773227,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,CH=O,0.15242908803430827,10.1007/s10765-023-03290-3
>C=O~|~C=O,CH_hex~|~cCH_hex,0.20715143616696932,10.1007/s10765-023-03290-3
>C=O~|~C=O,=CH2_hex~|~cCH2_hex,0.10105082239249716,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,OCH3,0.21758560291856807,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,OCH3,0.038851491234467544,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,OCH2,0.12641108333024728,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,OCH2,-0.029859981746856126,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,HCOO,0.13536601201087417,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,COO,0.09766270569304139,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,COO,0.23359111174440955,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,OH,0.3012959587428203,10.1007/s10765-023-03290-3
=CH2_hex~|~cCH2_hex,OH,0.06145194047695637,10.1007/s10765-023-03290-3
CH2_pent~|~cCH2_pent,COO,0.0591958981494055,10.1007/s10765-023-03290-3
CH_pent~|~cCH_pent,OH,0.05049513358443987,10.1007/s10765-023-03290-3
CH2_pent~|~cCH2_pent,OH,0.06365860079027498,10.1007/s10765-023-03290-3
CH=O,CH=O,-0.5266119495933976,10.1007/s10765-023-03290-3
>C=O~|~C=O,CH=O,-0.3487549151972326,10.1007/s10765-023-03290-3
CH=O,OCH2,-0.11976891848704076,10.1007/s10765-023-03290-3
CH=O,HCOO,-0.1498229825699716,10.1007/s10765-023-03290-3
CH=O,COO,-0.40091742710072753,10.1007/s10765-023-03290-3
CH=O,OH,-0.3422480720079449,10.1007/s10765-023-03290-3
>C=O~|~C=O,>C=O~|~C=O,-0.38212098851262305,10.1007/s10765-023-03290-3
>C=O~|~C=O,OCH3,-0.40877394973926423,10.1007/s10765-023-03290-3
>C=O~|~C=O,OCH2,-0.04638327660766271,10.1007/s10765-023-03290-3
>C=O~|~C=O,HCOO,-0.2798038394521561,10.1007/s10765-023-03290-3
>C=O~|~C=O,COO,-0.2616088977640821,10.1007/s10765-023-03290-3
>C=O~|~C=O,OH,-0.21837396735346676,10.1007/s10765-023-03290-3
>C=O~|~C=O,NH2,-0.6476561622488226,10.1007/s10765-023-03290-3
OCH2,OCH3,-0.6939950193693598,10.1007/s10765-023-03290-3
OCH3,OCH3,-0.380719319099956,10.1007/s10765-023-03290-3
OCH2,OCH2,-0.1458789755687414,10.1007/s10765-023-03290-3
HCOO,OCH3,-0.20616518678486087,10.1007/s10765-023-03290-3
COO,OCH2,-0.1629180563538049,10.1007/s10765-023-03290-3
COO,OCH3,-0.41914105984269306,10.1007/s10765-023-03290-3
OCH2,OH,0.01827388783404827,10.1007/s10765-023-03290-3
OCH3,OH,-0.18820563057725898,10.1007/s10765-023-03290-3
HCOO,HCOO,-0.43266513835360754,10.1007/s10765-023-03290-3
COO,HCOO,-0.3051378987235245,10.1007/s10765-023-03290-3
HCOO,OH,-0.21531477125536244,10.1007/s10765-023-03290-3
COO,COO,-0.45645793824438036,10.1007/s10765-023-03290-3
COO,OH,-0.2042011918642914,10.1007/s10765-023-03290-3
COO,NH2,-0.4441846238871141,10.1007/s10765-023-03290-3
NH2,OH,-0.7754077243242464,10.1007/s10765-023-03290-3
