Clapeyron Database File
Aly-Lee Ideal Like Parameters. Corrected to use R = 8.31446261815324
species,A,B,C,D,E,F,G,H,I,source
methane,4.000902799920064,0.763154348982973,820.65899994826,0.004600026214140962,178.409999968728,8.744369831486326,1062.81999996678,-4.46923546880455,1090.530000009604,10.1007/bf02083547
nitrogen,3.5003299473086416,0.137320782549095,662.73800006304,-0.14660083543327504,-680.561999955552,0.900665132614826,1740.0599999439357,0.0,0.0,10.1007/bf02083547
carbon dioxide,3.5000399456560114,2.044531651159887,919.3060000608812,-1.0604460431573135,-865.0700000500232,2.0336715892717194,483.5530000874648,0.013930079383257306,341.108999978738,10.1007/bf02083547
ethane,4.002652809892835,4.339414728995902,559.313999964732,1.2372270505781482,223.284000136962,13.197475208370422,1031.380000113882,-6.019924305705444,1071.289999859358,10.1007/bf02083547
propane~|~n-propane,4.02941296239075,6.605727644019307,479.856000054825,3.197018218827969,200.89299993884998,19.19220937052495,955.3120001454749,-8.372717713554698,1027.289999947575,10.1007/bf02083547
butane~|~n-butane,4.339464729280839,9.448983846865863,468.27000012474997,6.894099287361009,183.63600020750002,24.461939401102914,1914.1000001323748,14.782484240851602,903.185000114875,10.1007/bf02083547
isobutane~|~2-methylpropane,4.067163177517669,8.975801150342553,438.269999996583,5.251589927203067,198.01799981615702,25.142443279086155,1905.019999998705,16.13889197060395,893.76500006316,10.1007/bf02083547
pentane~|~n-pentane,4.000022794905185,8.950481006050804,178.6699998083,21.8361244373874,840.5380000787,33.403390355694214,1774.2499997761,0.0,0.0,10.1007/bf02083547
isopentane~|~methylbutane~|~2-methylbutane,4.000022794905185,11.76186702727895,292.5029999826,20.11021460195569,910.23699993435,33.16898901991277,1919.3700001558502,0.0,0.0,10.1007/bf02083547
hexane~|~n-hexane,4.000022794905185,11.697766661990594,182.32600023593997,26.81435280678665,859.20700014686,38.616620064294146,1826.59000001674,0.0,0.0,10.1007/bf02083547
heptane~|~n-heptane,4.000022794905185,13.726678224136377,169.78900021174,30.470873644179353,836.1950001528,43.55634821429243,1760.4599997595399,0.0,0.0,10.1007/bf02083547
octane~|~n-octane,4.000022794905185,15.686589393070046,158.92200019280003,33.80309263347512,815.0639998870801,48.173374525311736,1693.0700001654402,0.0,0.0,10.1007/bf02083547
nonane~|~n-nonane,4.000022794905185,18.024202714412635,156.8540002568,38.12371725539195,814.8820002389,53.34180397860873,1693.79000016765,0.0,0.0,10.1007/bf02083547
decane~|~n-decane,4.000022794905185,21.007019712573435,164.94700001430002,43.493347855272674,836.2639999515001,58.36603261014938,1750.2399999195,0.0,0.0,10.1007/bf02083547
hydrogen,2.4790741274844117,0.9580654597217153,228.73400001047,0.45444258972917806,326.84300000769997,1.5603988922355252,1651.7099999925,-1.375607839167893,1671.69000000019,10.1007/bf02083547
oxygen,3.501479953862177,1.0755861294360296,2235.709999936175,1.013345774747305,1116.689999952485,0.0,0.0,0.0,0.0,10.1007/bf02083547
carbon monoxide,3.500569948676336,1.0286558619948047,1550.4500000080002,0.0049300280947206405,704.5249999751601,0.0,0.0,0.0,0.0,10.1007/bf02083547
water,4.003942817244192,0.010590060349511477,268.795000195544,0.987635628233052,1141.410000072184,3.0690574896189524,2507.370000291944,0.0,0.0,10.1007/bf02083547
hydrogen sulfide,4.000022794905185,3.119437776720783,1833.6299998471002,1.002435712574201,847.1809999380001,0.0,0.0,0.0,0.0,10.1007/bf02083547
helium~|~helium-4,2.5000142468157405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1007/bf02083547
argon,2.5000142468157405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1007/bf02083547
ammonia,4.099264326,3.137544926,990.77,3.981017357,2905.6,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
cl2~|~chlorine,3.511670127,1.02265178,405.49,-0.391365041,3892.43,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
propanol~|~1-propanol~|~propan-1-ol,7.42367641,24.45643084,757.27,-11.63366707,880.13,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,8.996623526,20.14622324,-711.59,15.74129033,2223.47,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
methylacetate~|~methyl ethanoate,6.574616125,21.54077277,595.63,-12.81075217,660.06,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
ethylacetate~|~ethyl ethanoate,12.00885308,25.3532597,-947.39,-6.281686791,1203.35,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,12.09026183,24.87875158,-807.44,16.55448901,2358.16,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
acetone~|~propanone,6.985809266,12.19431185,-761.09,10.18108853,2186.59,0.0,0.0,0.0,0.0,ISBN: 978-3-527-34325-6
