Clapeyron Database File,
Joback Groups [csvtype = groups,grouptype = Joback]
species,groups
ethane,"[""-CH3"" => 2]"
water,"[""H2O"" => 1]"
propane~|~n-propane,"[""-CH3"" => 2,""-CH2-"" => 1]"
butane~|~n-butane,"[""-CH3"" => 2,""-CH2-"" => 2]"
pentane~|~n-pentane,"[""-CH3"" => 2,""-CH2-"" => 3]"
hexane~|~n-hexane,"[""-CH3"" => 2,""-CH2-"" => 4]"
heptane~|~n-heptane,"[""-CH3"" => 2, ""-CH2-"" => 5]"
octane~|~n-octane,"[""-CH3"" => 2, ""-CH2-"" => 6]"
nonane~|~n-nonane,"[""-CH3"" => 2, ""-CH2-"" => 7]"
decane~|~n-decane,"[""-CH3"" => 2, ""-CH2-"" => 8]"
pentadecane~|~n-pentadecane,"[""-CH3"" => 2, ""-CH2-"" => 13]"
eicosane~|~n-eicosane,"[""-CH3"" => 2, ""-CH2-"" => 18]"
c25~|~pentacosane~|~n-pentacosane,"[""-CH3"" => 2, ""-CH2-"" => 23]"
triacontane~|~n-triacontane,"[""-CH3"" => 2, ""-CH2-"" => 28]"
methanol,"[""-CH3"" => 1, ""-OH (alcohol)"" => 1]"
ethanol,"[""-CH3"" => 1,""-CH2-"" => 1, ""-OH (alcohol)"" => 1]"
acetone~|~propanone,"[""-CH3"" => 2,"">C=O (non-ring)""=>1]"
