Clapeyron Database File,,,,,,,,,,,,,,,,,,,
NASAIdeal Coefficients from Modelica.Media.IdealGases.Common.SingleGasesData [csvtype = single],,,,,,,,,,,,,,,,,,,
species,Tmid,a1l,a2l,a3l,a4l,a5l,a6l,a7l,b1l,b2l,a1h,a2h,a3h,a4h,a5h,a6h,a7h,b1h,b2h
Be2OF2,1000.0,-27834.91921,178.2881461,4.09425136,0.02270142496,-2.672688189e-05,1.572575618e-08,-3.73607058e-12,-148008.1903,7.35349477,-228182.6506,-1130.355396,13.83400563,-0.000331608064,7.30492101e-08,-8.36270438e-12,3.87218498e-16,-143139.0587,-47.3915023
Be2O2,1000.0,-30317.1953,1163.353177,-8.73315595,0.0537200293,-7.27943919e-05,4.89492825e-08,-1.312147056e-11,-55469.3688,69.5328264,-396057.6640000001,-907.4948830000001,10.67160422,-0.0002670905218,5.87762999e-08,-6.71866409e-12,3.105949075e-16,-48611.1433,-36.1654689
Be3O3,1000.0,-27380.72346,874.38326,-6.59960612,0.0653302114,-8.762305740000001e-05,5.81724479e-08,-1.5406005e-11,-128467.9012,58.3720312,-589080936,-1392.823588,17.03450699,-0.000412733074,9.10752915e-08,-1.043465231e-11,4.83305377e-16,-121904.5534,-70.0061451
Be4O4,1000.0,-68932.5564,1687.565069,-14.79616594,0.1007319774,-0.0001291057622,8.243136760000001e-08,-2.111283987e-11,-207287.7151,100.2507262,-884133.8459999999,-2726.394165,24.02941774,-0.0008114675460000001,1.794255972e-07,-2.059359498e-11,9.55290533e-16,-192371.0587,-113.662075
Br,1000.0,-3700.29391,61.4521542,2.092120721,0.00137681887,-2.445566658e-06,2.050975161e-09,-5.144249091e-13,12425.08647,8.9961662,-4789717.399999999,16920.51999,-20.24085357,0.01395620355,-3.65623056e-06,4.489781e-10,-2.122507526e-14,-92070.54960000001,166.1695929
Brplus,1000.0,39811.8742,-475.158147,4.73457898,-0.00516932479,5.90585752e-06,-2.885129283e-09,5.054894290000001e-13,152905.2046,-5.76928322,1741149829,-5455.46567,8.47066335,-0.002683465574,6.59045456e-07,-7.9537703e-11,3.735898818e-15,185178.1643,-36.3790903
Brminus,1000.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-27084.92743,5.41955617,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-27084.92743,5.41955617
BrCL,1000.0,16532.91583,-357.876928,5.70062216,-0.002201257188,2.415146969e-06,-1.371032976e-09,3.22780342e-13,2252.619279,-4.155659669,-128486.3067,-1138.379626,7.9640408,-0.00343805667,1.524999514e-06,-2.761469114e-10,1.694450407e-14,5938.264260000001,-19.25044389
BrF,1000.0,38361.4319,-518.461197,5.45832705,-0.00056568431,-4.12131197e-07,7.85991348e-10,-3.03616152e-13,-5595.53991,-4.9011295,3771388.47,-12674.9343,20.8055593,-0.0102635936,3.30820359e-06,-4.90319225e-10,2.64827508e-14,70626.0972,-113.02536
BrF3,1000.0,111645.5127,-1959.42433,15.26220126,-0.0079993623,6.98203026e-06,-3.24275796e-09,6.16475146e-13,-23453.41551,-55.226336,-188653224,-82.4523297,10.06180694,-2.477319092e-05,5.47857686e-09,-6.28265526e-13,2.910628214e-17,-33868.0037,-22.98937369
BrF5,1000.0,221136.6805,-4024.80922,27.34900212,-0.01832254979,1.721754649e-05,-8.75350863e-09,1.860196959e-12,-35374.4767,-124.4296466,-375764764,-157.5896472,16.11869838,-4.776497799999999e-05,1.059755365e-08,-1.218527723e-12,5.65753545e-17,-56672.66800000001,-55.4083931
BrO,1000.0,14554.31116,122.5152439,-0.3058728672,0.02117309202,-3.49426119e-05,2.622639719e-08,-7.50805954e-12,13891.49932,25.27867438,-2392612795,6932.79313,-2.513183892,0.00344654456,-7.569536839999999e-07,6.51429134e-11,-1.715768736e-15,-30844.99064,53.6104836
OBrO,1000.0,34702.13230000001,-340.134182,3.93225162,0.01215938586,-1.901501702e-05,1.398631495e-08,-3.99289976e-12,18759.55788,6.36123518,-162450466,-145.3689372,7.10582213,-4.14136207e-05,8.98183326e-09,-1.013712869e-12,4.63513314e-17,16500.75386,-9.11181792
BrOO,1000.0,-44176199,495.963716,3.23988495,0.00594150211,-3.40269677e-06,-3.44477816e-11,4.81195795e-13,8815.22198,16.07446878,6172.483480000001,-658.504966,7.48395533,-0.0001920530746,4.22694617e-08,-4.83739261e-12,2.23974132e-16,14603.5347,-9.85038024
BrO3,1000.0,106390.1881,-1501.928813,9.70365743,0.00813300076,-1.531857845e-05,1.199117619e-08,-3.51274787e-12,32331.3599,-27.3512543,-282285.1113,-235.8973461,10.17525279,-6.97845105e-05,1.535701661e-08,-1.75445495e-12,8.10410015e-17,24011.4014,-25.88197197
Br2,1000.0,7497.04754,-235.0884557,5.49193432,-0.002227573303,2.932401703e-06,-1.954889514e-09,5.31230789e-13,3521.47505,-1.96415157,-4311698.57,11112.68634,-5.55577561,0.00363051659,-2.754164226e-07,-6.21750676e-11,7.37534162e-15,-70365.8416,78.7847802
BrBrO,1000.0,16174.98037,-246.4406776,5.91285845,0.00498035428,-8.09995825e-06,6.072776260000001e-09,-1.753715313e-12,19740.12093,2.009704963,-85371.0175,-64.8704607,7.04715935,-1.843088186e-05,3.99226786e-09,-4.50068795e-13,2.055867395e-17,18215.66655,-3.162186125
BrOBr,1000.0,64050.6891,-1062.722566,9.90786629,-0.00447049247,3.91370107e-06,-1.805444867e-09,3.36613255e-13,16429.21537,-23.50319399,-96866.6025,-39.5739527,7.02943438,-1.171881908e-05,2.576958549e-09,-2.941186078e-13,1.357198784e-17,10769.42321,-5.69777938
C,1000.0,649.503147,-0.964901086,2.504675479,-1.281448025e-05,1.980133654e-08,-1.606144025e-11,5.314483411e-15,85457.6311,4.747924288,-128913.6472,171.9528572,2.646044387,-0.000335306895,1.74209274e-07,-2.902817829e-11,1.642182385e-15,84105.9785,4.130047418
Cplus,1000.0,2258.535929,-1.574575687,2.50363773,-5.20287837e-06,4.51690839e-09,-2.181431053e-12,4.495047033e-16,216895.1913,4.345699505,12551.12551,-34.1187467,2.543383218,-2.805120849e-05,9.751641969999999e-09,-1.736855394e-12,1.246191931e-16,217100.1786,4.063913515
Cminus,1000.0,4.67129153,-0.001986169369,2.500008638,-1.976750928e-08,2.478947477e-11,-1.610664044e-14,4.23650681e-18,70012.18549999999,4.879570141,4.25317572,0.0005778186479999999,2.499999424,2.836136231e-10,-7.32725342e-14,9.47850781e-18,-4.830487319999999e-22,70012.1717,4.879624211
CBr,1000.0,4324.44688,-159.6366559,4.85785659,-0.000438943916,4.40886363e-07,-2.281330618e-10,5.44561822e-14,58476.7725,0.1351169646,1021862102,-3243.48436,8.38822656,-0.002242155508,6.988355369999999e-07,-9.719134370000001e-11,4.71697624e-15,78059.24059999999,-25.18386915
CBr2,1000.0,72481.97839999999,-1128.26123,9.82230338,-0.0038727481,2.904819596e-06,-1.061380159e-09,1.297474642e-13,44377.71599999999,-23.61121795,-744143141,421.542783,8.79679774,-0.002726562507,1.336438546e-06,-2.304854483e-10,1.337493953e-14,33646.1814,-15.99565135
CBr3,1000.0,85635.1626,-1275.764123,11.17190031,0.002341705749,-6.54067141e-06,5.73671714e-09,-1.777823046e-12,32432.1589,-27.66468801,-192649.8949,-132.4072178,10.09808665,-3.89504082e-05,8.55044501e-09,-9.74749368e-13,4.49424559e-17,25415.76129,-18.66868947
CBr4,1000.0,102308.3739,-1735.600709,16.51317914,-0.003147664747,2.924135486e-07,1.360605681e-09,-6.43175865e-13,15005.02543,-55.3647676,-205978.5072,-104.8517002,13.0777255,-3.086857556e-05,6.77530981e-09,-7.72183754e-13,3.55921824e-17,5615.89394,-32.8378763
CCL,1000.0,17070.70049,-14.63803497,2.334108251,0.00720209913,-1.034120045e-05,7.2281067e-09,-1.985123755e-12,51233503,12.00820386,590050763,-2075.31146,6.88001723,-0.001294796228,3.88313798e-07,-5.00698163e-11,2.218229619e-15,63589.2205,-16.10664472
CCL2,1000.0,75096.23150000001,-1034.728559,8.06170454,0.001487134213,-4.56481711e-06,3.95488581e-09,-1.166197091e-12,30524.09293,-17.39691692,-6437455.17,19584.13353,-16.04038625,0.01238833906,-3.013367274e-06,3.47346892e-10,-1.553272793e-14,-99612.42159999999,155.6949315
CCL2Br2,1000.0,101849.5619,-1740.854039,15.21338304,0.00112825651,-5.875405490000001e-06,5.65988697e-09,-1.821576512e-12,6918.57219,-50.15385818999999,-255334.7012,-159.8005477,13.1186093,-4.717443870000001e-05,1.036912808e-08,-1.183321687e-12,5.46061269e-17,-2588.63698,-34.61705319
CCL3,1000.0,34144.7165,-554.796973,6.84554439,0.01242006495,-2.036896881e-05,1.554979993e-08,-4.56894011e-12,9388.56882,-7.143598465,-542757254,680.902062,9.04772362,0.0001324277766,6.30126304e-08,-2.6566392e-11,2.105668053e-15,386.621615,-15.28745849
CCL3Br,1000.0,104966.8463,-1793.828482,14.89250892,0.00239712831,-7.78961547e-06,7.01661711e-09,-2.196069746e-12,910.1349309999999,-50.58348139,-277232.4186,-184.0310333,13.13673812,-5.44391001e-05,1.197658923e-08,-1.367818632e-12,6.316164790000001e-17,-8895.857689999999,-36.69528209
CCL4,1000.0,109338.5626,-1861.731846,14.49632467,0.00394948516,-1.010805379e-05,8.64551417e-09,-2.642368852e-12,-4948.00623,-51.8028475,-304307.8255,-216.8170491,13.16132386,-6.43112489e-05,1.416482497e-08,-1.61934332e-12,7.48397435e-17,-15123.2007,-39.968443
CF,1000.0,-45827.8668,797.263589,-1.364936319,0.01312359375,-1.457012892e-05,8.25327668e-09,-1.896351845e-12,24382.5962,32.4806528,-132980.71,-121.4340891,4.45241362,0.0001293786948,-3.67055059e-08,6.590212389999999e-12,-3.73126161e-16,28159.34108,-0.664046873
CFplus,1000.0,-59752132,927.6863649999999,-1.866581982,0.01384340912,-1.51342886e-05,8.51855634e-09,-1.959577655e-12,132351941,34.1201319,-80537.6278,-339.027509,4.7083735,-3.96314831e-05,2.497996218e-08,-5.23679043e-12,5.31394913e-16,138133.7068,-3.92051473
CFBr3,1000.0,51492.4428,-936.479664,10.44260886,0.01205370047,-1.876290291e-05,1.344488618e-08,-3.73054576e-12,-12432.46293,-23.63948551,-272915.8956,-332.816465,13.24822519,-9.92707754e-05,2.193640054e-08,-2.515424945e-12,1.165680878e-16,-17301.85479,-36.2681843
CFCL,1000.0,15419.97945,-82.7403981,2.501701822,0.01390738086,-1.8957347e-05,1.261934581e-08,-3.33345382e-12,2411.755114,13.31517094,-268163.0077,-2.328091539,6.83463383,0.0001565270633,-5.967755160000001e-08,9.82092446e-12,-5.05889721e-16,301.7669604,-9.005085129
CFCLBr2,1000.0,58987.9974,-1050.714861,10.39349401,0.01273690622,-1.999097478e-05,1.43820423e-08,-4.00013035e-12,-18377.99602,-24.17479131,-296081.1596,-353.12762,13.26346169,-0.0001053860298,2.32908508e-08,-2.670979639e-12,1.237844667e-16,-23875.94306,-36.84977271
CFCL2,1000.0,26113.98792,-335.35659,4.09467308,0.01960244711,-2.762775193e-05,1.880124302e-08,-5.0474103e-12,-12512.98871,6.870882561,-265311.8323,-446.972417,10.33334881,-0.0001333673368,2.948755634e-08,-3.3833062e-12,1.568746348e-16,-13931.60489,-25.56817972
CFCL2Br,1000.0,65299.59220000001,-1135.235485,10.09526872,0.01401380147,-2.191705096e-05,1.573404132e-08,-4.36934034e-12,-25044.88145,-24.51093103,-321545505,-388.412962,13.28990796,-0.0001160048581,2.564498787e-08,-2.941639768e-12,1.363542881e-16,-30974.21144,-38.71356695
CFCL3,1000.0,74001.74,-1252.282466,10.01327229,0.01475107601,-2.315635251e-05,1.664207025e-08,-4.62292996e-12,-30205.08601,-27.08387087,-345046478,-417.782145,13.31196736,-0.0001248759531,2.761391353e-08,-3.16820764e-12,1.468834601e-16,-36740.6719,-41.56886057000001
CF2,1000.0,-37970.2627,873.180003,-3.46019157,0.02746253741,-3.4746219e-05,2.204470693e-08,-5.62175085e-12,-27467.97157,44.5677807,-108642.8547,-585.498914,7.01864895,0.000392918615,-2.603822675e-07,6.142196389999999e-11,-4.17283326e-15,-21529.45157,-13.56143285
CF2plus,1000.0,-28923.73827,604.935461,-0.972186666,0.01808478341,-1.980065782e-05,1.101640055e-08,-2.500457119e-12,110275567,32.4759147,-64889.6607,-1064.283593,7.7857021,-0.0003158347626,7.130804079999999e-08,-8.53318359e-12,4.25163882e-16,117844.6465,-18.19424707
CF2Br2,1000.0,12614.04028,-281.5725114,5.09803213,0.02502548939,-3.43885319e-05,2.297615553e-08,-6.08016143e-12,-46427.6375,3.094167118,-332766.93,-618.435249,13.46170049,-0.0001849172548,4.09259134e-08,-4.69981043e-12,2.180811799e-16,-47151.8661,-41.0536924
CF2CL,1000.0,8914.55835,-17.68816959,1.607015025,0.02473626554,-3.27073894e-05,2.12635183e-08,-5.509831110000001e-12,-34273.0625,19.2968069,-280234.6654,-686.031485,10.51143635,-0.0002046954963,4.52889718e-08,-5.20022903e-12,2.41297145e-16,-33081.7948,-28.74899785
CF2CLBr,1000.0,26966.99365,-467.883227,5.24480942,0.02530121349,-3.508443520000001e-05,2.354353958e-08,-6.24616113e-12,-51983.8273,0.8532887803,-359282884,-653.928359,13.48831524,-0.0001956099469,4.32977597e-08,-4.97264437e-12,2.30757505e-16,-53651.4117,-42.24913908000001
CF2CL2,1000.0,38412.5875,-613.949982,5.26966719,0.02574105783,-3.58737648e-05,2.41160013e-08,-6.4022369e-12,-57845.4133,-1.957454856,-382744855,-693.37748,13.51791274,-0.0002075114435,4.59402161e-08,-5.276874600000001e-12,2.449037044e-16,-60215.2777,-44.79580046
CF3,1000.0,-29783.07106,715.367883,-3.49818538,0.0359545799,-4.50797443e-05,2.82180845e-08,-7.098047020000001e-12,-60599.9703,45.0259264,-299730.5557,-1046.989457,10.77923191,-0.0003116087076,6.89135143e-08,-7.91122564e-12,3.67059302e-16,-54253044,-34.1703879
CF3plus,1000.0,-35874.6354,374.35067,0.778741393,0.01929435768,-1.89281577e-05,9.36390876e-09,-1.885759656e-12,47755.8172,22.24044005,-29109.19531,-1996.658183,11.44279678,-0.000565339304,1.232297113e-07,-1.399758046e-11,6.44301795e-16,59023458,-40.80349990000001
CF3Br,1000.0,-5439.48901,124.361519,0.923194195,0.0348104438,-4.54964549e-05,2.932836552e-08,-7.54800036e-12,-80233.9676,22.32999096,-383408851,-971.9093300000001,13.72477396,-0.0002901710612,6.421892200000001e-08,-7.37568877e-12,3.42315425e-16,-77653.0631,-47.1736721
CF3CL,1000.0,14994.09978,-136.5768572,1.45291237,0.0340476507,-4.47377764e-05,2.888115112e-08,-7.43417133e-12,-85471.6664,17.27327095,-406604.2119999999,-1022.626507,13.76252628,-0.0003052722979,6.75596604e-08,-7.75931525e-12,3.60119229e-16,-84105.5937,-49.13411939
CF4,1000.0,9817.4585,116.3343483,-1.288338636,0.0395956691,-4.99624421e-05,3.125339346e-08,-7.84170032e-12,-113850.2297,29.38656548,-416445678,-1414.797167,14.05124837,-0.000419909386,9.27892161e-08,-1.06457583e-11,4.937099680000001e-16,-109469.1149,-54.87105
CHplus,1000.0,30196.07105,-461.814131,6.22564119,-0.0077757118,1.094489485e-05,-6.67548791e-09,1.565232409e-12,197249.1928,-14.31512811,-7102094.67,18283.54883,-13.12691402,0.006191717360000001,-2.909421253e-07,-1.134243575e-10,1.105962085e-14,75412.9604,124.3984829
CHBr3,1000.0,43465.7686,-499.963442,5.62022211,0.02079346321,-2.921336328e-05,2.066942448e-08,-5.78122091e-12,2627.830062,1.247904015,627423495,-3378.7111,14.87852612,-0.000593274527,1.082421577e-07,-1.061012665e-11,4.31915245e-16,18772.34659,-53.1190965
CHCL,1000.0,-269991.2334,4351.19973,-22.75911813,0.07550621760000001,-9.07199797e-05,5.25697186e-08,-1.189769182e-11,14168.6268,152.0980812,-954806.1900000001,2174.413794,4.86764537,0.0008321641859999999,-1.536948638e-07,1.529236537e-11,-6.596159359999999e-16,18801.2181,2.674761385
CHCLBr2,1000.0,38153.8025,-408.4175110000001,4.63924402,0.02325990646,-3.22298886e-05,2.254671151e-08,-6.25650774e-12,1483.809044,6.175235281,604286.53,-3438.24101,14.94162631,-0.000622842797,1.153724426e-07,-1.147291377e-11,4.733482859999999e-16,18224.60958,-54.07258924
CHCL2,1000.0,56385.5613,-656.245542,6.06881802,0.0097441226,-1.275310131e-05,8.55238672e-09,-2.2315827e-12,13304.47798,-4.533535456,884939.3709999999,-3526.96973,11.86372153,-0.000500237612,6.1338604e-08,-1.885433405e-12,-1.234221421e-16,30711.36475,-40.88905858
CHCL2Br,1000.0,32940.2265,-327.530117,3.77323524,0.02536466143,-3.47266699e-05,2.404666618e-08,-6.62173093e-12,-5425.56508,9.433412004,592487644,-3509.47561,14.99349593,-0.000643306257,1.198581809e-07,-1.198476716e-11,4.96994807e-16,11972.51405,-56.02687781
CHCL3,1000.0,33953.3329,-304.7428785,2.923672263,0.02830547858,-3.71242469e-05,2.551365915e-08,-6.98765955e-12,-12350.63157,11.15556408,613605274,-3715.08717,15.10777247,0.0002362584336,1.297140438e-07,-1.267494791e-11,5.259022309999999e-16,6203.31345,-59.92576539
CHF,1000.0,-78685.85829999999,1300.218466,-3.94768525,0.02114995848,-2.239962738e-05,1.283155181e-08,-2.904778136e-12,5824.38972,47.8545377,3994085.42,-7962.756200000001,6.75559509,0.00494983657,-2.101763812e-06,3.34823295e-10,-1.88682505e-14,67061.3494,-23.81240379
CHFBr2,1000.0,-18201.9798,436.224967,-0.373385417,0.033886314,-4.37129853e-05,2.889569295e-08,-7.68391511e-12,-24656.11586,33.2047879,593575.1630000001,-3742.65658,15.17184031,-0.0007158039030000001,1.360636972e-07,-1.385897355e-11,5.844209110000001e-16,-2347.676027,-57.6578343
CHFCL,1000.0,-71130.0851,1377.872745,-6.48461724,0.0389097249,-4.80073522e-05,3.073300019e-08,-7.98285341e-12,-17517.93745,63.73895867,662216358,-3809.00798,12.23880469,-0.000746718275,1.43476785e-07,-1.475406631e-11,6.27378068e-16,10189.87746,-46.58365563
CHFCLBr,1000.0,-19592.40614,490.172327,-1.259408503,0.0361770847,-4.65424496e-05,3.065240659e-08,-8.1239036e-12,-31399.00705,37.10450945,580011.7509999999,-3823.33785,15.22809062,-0.000737390631,1.407097155e-07,-1.438245319e-11,6.08386715e-16,-8552.249899999999,-59.03677705
CHFCL2,1000.0,-17349.59015,492.49132,-1.854635884,0.0378278628,-4.86334304e-05,3.19719763e-08,-8.45905799e-12,-37887.4927,38.01530544,564011302,-3887.0833,15.27760246,-0.000757648742,1.452498792e-07,-1.490796515e-11,6.3289985e-16,-14847.36185,-61.67535516
CHF2,1000.0,-146969.0117,2553.397313,-13.0262763,0.0543812846,-6.71341879e-05,4.28765173e-08,-1.110824216e-11,-41793.7216,99.3993025,552680655,-3696.00917,12.08610573,-0.00064985881,1.12084622e-07,-9.814147009999999e-12,3.34919239e-16,-9437.06842,-47.044162
CHF2Br,1000.0,-77145.1016,1422.544046,-6.68439365,0.0473838915,-5.83058875e-05,3.69572047e-08,-9.49548528e-12,-58785.00930000001,66.0863909,576770684,-4177.71608,15.50150581,-0.000849014729,1.657177491e-07,-1.727828054e-11,7.43562723e-16,-29661.47348,-63.4938014
CHF2CL,1000.0,-72405.7941,1365.510973,-7.15322208,0.0485498797,-5.94878167e-05,3.75096619e-08,-9.58952442e-12,-65659328,66.5721223,562949373,-4298.673049999999,15.58191398,-0.000878927848,1.720248689e-07,-1.797910869e-11,7.753391699999999e-16,-36340.6716,-66.11261479999999
CHF3,1000.0,-109513226,2042.273879,-11.66213079,0.0578580777,-6.85713506e-05,4.21211838e-08,-1.053196888e-11,-93954.7005,89.3592065,568523202,-4728.3617,15.86728516,-0.000738234865,1.970841706e-07,-2.062115571e-11,8.97059964e-16,-59231.9637,-71.6127322
CHI3,1000.0,52529.2359,-724.216647,8.01862334,0.01470995487,-2.163843469e-05,1.594571452e-08,-4.60143796e-12,26781.86915,-8.60505484,629420543,-3184.06157,14.79622178,-0.00057495555,1.062025541e-07,-1.052804696e-11,4.32972002e-16,41036098,-49.0135739
CH2,1000.0,32189.2173,-287.7601815,4.20358382,0.00345540596,-6.74619334e-06,7.65457164e-09,-2.870328419e-12,47336.2471,-2.143628603,2550418031,-7971.62539,12.28924487,-0.001699122922,2.991728605e-07,-2.767007492e-11,1.05134174e-15,96422.1689,-60.9473991
CH2Br2,1000.0,4797.30801,361.385924,-1.819592338,0.0347704834,-4.49854618e-05,3.068623685e-08,-8.43484634e-12,-4481.49706,38.2712359,1528284441,-6673.414949999999,16.70213316,-0.001166351237,2.122634493e-07,-2.07547224e-11,8.4285777e-16,36007.0664,-74.4806549
CH2CL,1000.0,-31885.8563,633.316321,-1.164065495,0.0216058608,-2.545462163e-05,1.693887757e-08,-4.6600786e-12,10201.4254,32.30835289,1662438334,-6441.12572,13.59753722,-0.00114053681,2.087760159e-07,-2.052347186e-11,8.37577227e-16,52129.0612,-61.48586271
CH2CLBr,1000.0,-13079.48755,645.586038,-3.57734991,0.0383368723,-4.86425205e-05,3.26162233e-08,-8.85287739e-12,-9402.27253,47.48806758,1525016309,-6823.33416,16.82769102,-0.001219735119,2.244964495e-07,-2.219063248e-11,9.104705129999998e-16,33202.3992,-76.37571062
CH2CL2,1000.0,-25098.41179,868.766738,-5.09466921,0.0415004999,-5.19977215e-05,3.44594426e-08,-9.27029252e-12,-16389.7884,53.9689032,1529279337,-6976.95476,16.94154931,-0.001265053995,2.344766734e-07,-2.333227421e-11,9.63283473e-16,28063.18171,-79.4945351
CH2F,1000.0,-85697.1253,1392.226749,-4.38205259,0.02645916948,-2.848145663e-05,1.732706028e-08,-4.44206144e-12,-11694.44586,50.494992,2535399502,-9358.43902,17.00366206,-0.003062919929,7.612869080000001e-07,-9.664554980000001e-11,4.8447681e-15,52283.9131,-87.0755157
CH2FBr,1000.0,-92561.0953,1811.985865,-9.69834687,0.0503584867,-6.07027268e-05,3.8782508e-08,-1.012615992e-11,-35375.0962,81.4039605,1539975462,-7231.55136,17.14566439,-0.001350184394,2.538022824e-07,-2.558977386e-11,1.069310946e-15,15096.04224,-80.6205371
CH2FCL,1000.0,-107134.0332,2081.328396,-11.55723697,0.0544148211,-6.51862274e-05,4.13315988e-08,-1.071935103e-11,-42647.5621,90.35923546999999,1536120418,-7378.93973,17.25797178,-0.001395645457,2.639247747e-07,-2.675653563e-11,1.123582778e-15,9813.71046,-83.13642553
CH2F2,1000.0,-181991.75,3174.42789,-17.14256906,0.06411353830000001,-7.31359212e-05,4.426384159999999e-08,-1.103877216e-11,-70270.5895,120.7331926,1546609496,-7876.88333,17.68770469,-0.001581298721,3.068917255e-07,-3.18340546e-11,1.363827177e-15,-9800.13596,-89.0742036
CH2I2,1000.0,27381.33757,-89.7256804,1.387869408,0.02733482611,-3.61940877e-05,2.53918761e-08,-7.145585160000001e-12,13387.67276,22.41870165,1512892716,-6442.9124,16.59026137,-0.00113555152,2.07375025e-07,-2.033902231e-11,8.282283700000001e-16,50582.1903,-71.2523514
CH3,1000.0,-28761.88806,509.326866,0.2002143949,0.01363605829,-1.433989346e-05,1.013556725e-08,-3.027331936e-12,14082.71825,20.22772791,2760802663,-9336.53117,14.87729606,-0.001439429774,2.444477951e-07,-2.224555778e-11,8.39506576e-16,74818.0948,-79.196824
CH3Br,1000.0,-71155.8577,1524.705928,-8.23044521,0.0423997321,-4.94697989e-05,3.19443334e-08,-8.531237080000001e-12,-12517.53591,70.48127769999999,2524874348,-10118.76098,18.65902163,-0.00179767369,3.29852011e-07,-3.25091203e-11,1.330179925e-15,55405.7639,-97.7866446
CH3CL,1000.0,-98419.71100000001,1983.700841,-10.84512305,0.0477798005,-5.51551626e-05,3.50617614e-08,-9.23610396e-12,-19946.89506,83.99658330999999,2522463305,-10301.15447,18.82725852,-0.001872291294,3.47337286e-07,-3.45888722e-11,1.428941079e-15,51114.1741,-100.6571389
CH3F,1000.0,-202982.1878,3447.33113,-17.68994275,0.059452758,-6.46952825e-05,3.85941804e-08,-9.626541530000001e-12,-45779.26220000001,122.8382176,2561903188,-10860.52758,19.2944692,-0.002070973131,3.92912453e-07,-3.99450342e-11,1.681447081e-15,35635.0851,-106.1158456
CH3I,1000.0,-45164.6274,1086.208429,-5.66317627,0.0368317171,-4.3213935e-05,2.833483666e-08,-7.68438369e-12,-4303.83065,56.88562690000001,2511915982,-9960.28999,18.56907132,-0.001768191331,3.24220626e-07,-3.19294201e-11,1.305407821e-15,60669.29949999999,-95.9077704
CH2OH,1000.0,-156007.6238,2685.446279,-13.4202242,0.0575713947,-7.28444999e-05,4.836648860000001e-08,-1.293492601e-11,-15968.2041,99.630337,2250349506,-8173.186060000001,15.99639179,-0.0008704133719999999,6.06918395e-08,4.40834946e-12,-5.7023095e-16,46453.1343,-78.3515845
CH2OHplus,1000.0,-107708.0841,2252.082711,-11.88167865,0.0460231696,-4.87973688e-05,2.876413471e-08,-7.1002265e-12,74844.4777,90.2792857,2603333487,-10099.5381,17.30843898,-0.000694639032,3.009715083e-08,5.22148598e-12,-5.09018379e-16,146540.2426,-92.2395528
CH3O,1000.0,86571.1766,-663.168525,2.257455672,0.02266283789,-2.970566403e-05,2.199341353e-08,-6.58804338e-12,4174.102129999999,8.1747779,2101188243,-8841.9688,18.22645731,-0.001743485034,3.34043427e-07,-3.43067316e-11,1.473897771e-15,53095.82060000001,-94.2250059
CH4,1000.0,-176685.0998,2786.18102,-12.0257785,0.0391761929,-3.61905443e-05,2.026853043e-08,-4.976705489999999e-12,-23313.1436,89.0432275,3730042.76,-13835.01485,20.49107091,-0.001961974759,4.72731304e-07,-3.72881469e-11,1.623737207e-15,75320.6691,-121.9124889
CH3OH,1000.0,-241664.2886,4032.14719,-20.46415436,0.0690369807,-7.59893269e-05,4.59820836e-08,-1.158706744e-11,-44332.61169999999,140.014219,3411570.76,-13455.00201,22.61407623,-0.002141029179,3.73005054e-07,-3.49884639e-11,1.366073444e-15,56360.8156,-127.7814279
CH3OOH,1000.0,-149797.4156,2656.222273,-13.77060625,0.0658867383,-7.75180165e-05,4.9688007e-08,-1.31436764e-11,-30584.14201,103.169685,3060740.61,-12829.59627,25.41021168,-0.002394481095,4.44342991e-07,-4.4166595e-11,1.819673372e-15,58374.9236,-138.7713096
CI,1000.0,104301.1064,-1715.427168,12.88874952,-0.01828504834,2.135468356e-05,-1.286980869e-08,3.16704766e-12,75507.84700000001,-44.9681132,-240822.9894,344.738704,4.9769687,-0.000844481539,5.061239719999999e-07,-1.047700525e-10,6.74084314e-15,64513.4202,1.090913159
CI2,1000.0,60282.89810000001,-1043.205435,10.17465942,-0.00553567171,5.63031901e-06,-3.108249657e-09,7.20246956e-13,59648.9655,-23.10319208,-702865553,308.2750393,9.04642705,-0.002946736644,1.424347233e-06,-2.45318341e-10,1.425270291e-14,50211.34209999999,-15.60349377
CI3,1000.0,85967.84250000001,-1347.703793,12.72103659,-0.002442876357,2.511609978e-07,1.024658583e-09,-4.87269296e-13,53107.1651,-32.384929,-153651.1918,-83.5704437,10.06203125,-2.466447336e-05,5.41905475e-09,-6.181417e-13,2.851262022e-17,45825.8953,-14.94825345
CI4,1000.0,89190.4387,-1651.906475,17.96124325,-0.00851811425,8.50868225e-06,-4.59909773e-09,1.039492403e-12,36893.9215,-58.0595312,-144676277,-52.8036517,13.03985589,-1.606214814e-05,3.56755047e-09,-4.10536698e-13,1.907272766e-17,28177.46618,-28.10414436
CN,1000.0,3949.14857,-139.1590572,4.93083532,-0.006304670510000001,1.256836472e-05,-9.8783005e-09,2.843137221e-12,52284.55379999999,-2.763115585,-2228006.27,5040.733389999999,-0.2121897722,0.001354901134,1.325929798e-07,-6.93700637e-11,5.49495227e-15,17844.96132,32.82563919
