Clapeyron Database File,,,,,,,,,,,,,,,,,,,
NASAIdeal Coefficients from Modelica.Media.IdealGases.Common.SingleGasesData [csvtype = single],,,,,,,,,,,,,,,,,,,
species,Tmid,a1l,a2l,a3l,a4l,a5l,a6l,a7l,b1l,b2l,a1h,a2h,a3h,a4h,a5h,a6h,a7h,b1h,b2h
AL2C2,1000.0,11109.87147,-350.243423,8.598856,0.001832528671,1.035743392e-06,-2.09164989e-09,7.716068700000001e-13,64927.6419,-16.45080239,159765.1967,-1644.007203,11.64643675,-0.000437921543,9.36964011e-08,-1.049615854e-11,4.78046893e-16,72048.8981,-36.48164252
AL2CL6,1000.0,134093.5279,-3001.037953,31.43000879,-0.01700408496,1.786540089e-05,-1.015419943e-08,2.409630451e-12,-147183.0046,-127.4445324,-275297.5554,-92.48235969999999,22.07058224,-2.870537915e-05,6.42332569e-09,-7.4365852e-13,3.47206467e-17,-162915.7014,-70.91602129
AL2F6,1000.0,191506.1289,-3168.24025,22.45374802,0.01271532036,-2.488697302e-05,1.955252096e-08,-5.71208489e-12,-304996255,-93.96473101,-585298.2609999999,-545.0571990000001,22.4068632,-0.0001627323704,3.59522504e-08,-4.12120144e-12,1.909095384e-16,-321968391,-85.89867941
AL2I6,1000.0,25875.71514,-1280.719742,26.7771582,-0.009913018470000002,1.168760413e-05,-7.30391853e-09,1.874532749e-12,-58911.0555,-83.30209321,-121011.2399,-24.67542774,22.0199265,-8.46202259e-06,1.957831901e-09,-2.326573151e-13,1.108910373e-17,-65485.2375,-55.28536481
AL2O,1000.0,7776.5307,-129.4235361,4.91250952,0.008604223449999998,-1.217703648e-05,8.31463487e-09,-2.237722201e-12,-18865.12879,-0.02806368311,-117107.4351,-178.3009166,7.63321536,-5.33593177e-05,1.180702791e-08,-1.355444579e-12,6.28732389e-17,-19475.80149,-14.15764167
AL2Oplus,1000.0,68289.2572,-909.850417,8.89656301,-0.000777255438,-4.034655619999999e-07,6.97731505e-10,-2.417262484e-13,80850.0755,-21.76216731,-110222.5105,-121.4571732,7.59159595,-3.69453916e-05,8.21852032e-09,-9.473649719999999e-13,4.40862135e-17,76149.4358,-12.82233856
AL2O2,1000.0,-19405.60042,250.8489836,3.62140379,0.01951385302,-2.560329071e-05,1.662721576e-08,-4.3123962e-12,-51726.9728,9.923995945,-194061.1656,-460.975243,10.84375637,-0.0001376042893,3.044733119e-08,-3.49619392e-12,1.622305079e-16,-49630.5578,-29.4653809
AL2O2plus,1000.0,82920.3499,-1757.427015,15.25328567,-0.008983131330000001,8.9539545e-06,-4.8405862e-09,1.096696856e-12,73116.7714,-55.1709255,-165200.5184,-60.2160697,10.04626917,-1.892194088e-05,4.2533012e-09,-4.942390419999999e-13,2.314507373e-17,63862.19,-23.45753361
AL2O3,1000.0,-7443.37432,88.29004210000001,5.26466264,0.02507678848,-3.43454165e-05,2.30251698e-08,-6.12252928e-12,-68726.8595,2.202324298,-277778.4969,-491.746593,13.86703888,-0.000146938194,3.25040649e-08,-3.73086735e-12,1.730444284e-16,-67907.5785,-43.75559873
AL2S,1000.0,40946.2437,-779.7172469999999,9.8144231,-0.00394033982,3.91246543e-06,-2.105891677e-09,4.74600108e-13,28339.63305,-24.65067552,-70434.3737,-26.76376869,7.52023382,-8.16612306e-06,1.81602604e-09,-2.091989298e-13,9.727537699999999e-18,24227.18377,-10.66580982
