original_nasa_species,final_species,status
bo2minus,bo2minus,missing_kept_nasa_only
oh-2~|~b_oh_2~|~b-oh-2,oh-2~|~b_oh_2~|~b-oh-2,missing_kept_nasa_only
bs,bs,missing_kept_nasa_only
bs2,bs2,missing_kept_nasa_only
b2,b2,missing_kept_nasa_only
b2c,b2c,missing_kept_nasa_only
b2cl4,b2cl4,missing_kept_nasa_only
b2f4,b2f4,missing_kept_nasa_only
b2h,b2h,missing_kept_nasa_only
b2h2,b2h2,missing_kept_nasa_only
b2h3,b2h3,missing_kept_nasa_only
db~|~b2h3_db~|~b2h3-db,db~|~b2h3_db~|~b2h3-db,missing_kept_nasa_only
b2h4,b2h4,missing_kept_nasa_only
db~|~b2h4_db~|~b2h4-db,db~|~b2h4_db~|~b2h4-db,missing_kept_nasa_only
b2h5,b2h5,missing_kept_nasa_only
db~|~b2h5_db~|~b2h5-db,db~|~b2h5_db~|~b2h5-db,missing_kept_nasa_only
diborane~|~b2h6,diborane~|~b2h6,matched
b2o,b2o,missing_kept_nasa_only
b2o2,b2o2,missing_kept_nasa_only
b2o3,b2o3,missing_kept_nasa_only
oh-4~|~b2_oh_4~|~b2-oh-4,oh-4~|~b2_oh_4~|~b2-oh-4,missing_kept_nasa_only
b2s,b2s,missing_kept_nasa_only
b2s2,b2s2,missing_kept_nasa_only
b2s3,b2s3,missing_kept_nasa_only
c2v~|~b3h7_c2v~|~b3h7-c2v,c2v~|~b3h7_c2v~|~b3h7-c2v,missing_kept_nasa_only
cs~|~b3h7_cs~|~b3h7-cs,cs~|~b3h7_cs~|~b3h7-cs,missing_kept_nasa_only
b3h9,b3h9,missing_kept_nasa_only
b3n3h6,b3n3h6,missing_kept_nasa_only
b3o3cl3,b3o3cl3,missing_kept_nasa_only
b3o3fcl2,b3o3fcl2,missing_kept_nasa_only
b3o3f2cl,b3o3f2cl,missing_kept_nasa_only
b3o3f3,b3o3f3,missing_kept_nasa_only
b4h4,b4h4,missing_kept_nasa_only
b4h10,b4h10,missing_kept_nasa_only
b4h12,b4h12,missing_kept_nasa_only
b5h9,b5h9,missing_kept_nasa_only
ba,ba,missing_kept_nasa_only
baplus,baplus,missing_kept_nasa_only
babr,babr,missing_kept_nasa_only
babr2,babr2,missing_kept_nasa_only
bacl,bacl,missing_kept_nasa_only
baclplus,baclplus,missing_kept_nasa_only
bacl2,bacl2,missing_kept_nasa_only
baf,baf,missing_kept_nasa_only
bafplus,bafplus,missing_kept_nasa_only
baf2,baf2,missing_kept_nasa_only
bah,bah,missing_kept_nasa_only
bai,bai,missing_kept_nasa_only
bai2,bai2,missing_kept_nasa_only
bao,bao,missing_kept_nasa_only
baoplus,baoplus,missing_kept_nasa_only
baoh,baoh,missing_kept_nasa_only
baohplus,baohplus,missing_kept_nasa_only
oh-2~|~ba_oh_2~|~ba-oh-2,oh-2~|~ba_oh_2~|~ba-oh-2,missing_kept_nasa_only
bas,bas,missing_kept_nasa_only
ba2,ba2,missing_kept_nasa_only
be,be,missing_kept_nasa_only
beplus,beplus,missing_kept_nasa_only
beplusplus,beplusplus,missing_kept_nasa_only
bebr,bebr,missing_kept_nasa_only
bebr2,bebr2,missing_kept_nasa_only
becl,becl,missing_kept_nasa_only
becl2,becl2,missing_kept_nasa_only
bef,bef,missing_kept_nasa_only
Beryllium fluoride~|~BeF2,Beryllium fluoride~|~BeF2,matched
beh,beh,missing_kept_nasa_only
behplus,behplus,missing_kept_nasa_only
beryllium hydride~|~beh2,beryllium hydride~|~beh2,matched
bei,bei,missing_kept_nasa_only
Beryllium iodide~|~BeI2,Beryllium iodide~|~BeI2,matched
ben,ben,missing_kept_nasa_only
beo,beo,missing_kept_nasa_only
beoh,beoh,missing_kept_nasa_only
beohplus,beohplus,missing_kept_nasa_only
oh-2~|~be_oh_2~|~be-oh-2,oh-2~|~be_oh_2~|~be-oh-2,missing_kept_nasa_only
bes,bes,missing_kept_nasa_only
be2,be2,missing_kept_nasa_only
be2cl4,be2cl4,missing_kept_nasa_only
be2f4,be2f4,missing_kept_nasa_only
be2o,be2o,missing_kept_nasa_only
be2of2,be2of2,missing_kept_nasa_only
be2o2,be2o2,missing_kept_nasa_only
be3o3,be3o3,missing_kept_nasa_only
