original_nasa_species,final_species,status
butane~|~n-butane~|~c4h10_n_butane~|~c4h10-n-butane,butane~|~n-butane~|~c4h10_n_butane~|~c4h10-n-butane,matched
isobutane~|~2-methylpropane~|~c4h10_isobutane~|~c4h10-isobutane,isobutane~|~2-methylpropane~|~c4h10_isobutane~|~c4h10-isobutane,matched
c4n2,c4n2,missing_kept_nasa_only
c5,c5,missing_kept_nasa_only
1-3cyclo~|~c5h6_1_3cyclo~|~c5h6-1-3cyclo,1-3cyclo~|~c5h6_1_3cyclo~|~c5h6-1-3cyclo,missing_kept_nasa_only
cyclo~|~c5h8_cyclo~|~c5h8-cyclo,cyclo~|~c5h8_cyclo~|~c5h8-cyclo,missing_kept_nasa_only
pentene~|~1-pentene~|~pent-1-ene~|~c5h10_1_pentene~|~c5h10-1-pentene,pentene~|~1-pentene~|~pent-1-ene~|~c5h10_1_pentene~|~c5h10-1-pentene,matched
cyclopentane~|~c5h10_cyclo~|~c5h10-cyclo,cyclopentane~|~c5h10_cyclo~|~c5h10-cyclo,matched
pentyl radical~|~n-pentyl radical~|~c5h11_pentyl~|~c5h11-pentyl,pentyl radical~|~n-pentyl radical~|~c5h11_pentyl~|~c5h11-pentyl,missing_kept_nasa_only
tert-pentyl radical~|~c5h11_t_pentyl~|~c5h11-t-pentyl,tert-pentyl radical~|~c5h11_t_pentyl~|~c5h11-t-pentyl,missing_kept_nasa_only
pentane~|~n-pentane~|~c5h12_n_pentane~|~c5h12-n-pentane,pentane~|~n-pentane~|~c5h12_n_pentane~|~c5h12-n-pentane,matched
isopentane~|~methylbutane~|~2-methylbutane~|~c5h12_i_pentane~|~c5h12-i-pentane,isopentane~|~methylbutane~|~2-methylbutane~|~c5h12_i_pentane~|~c5h12-i-pentane,matched
"neopentane~|~2,2-dimethylpropane~|~ch3c_ch3_2ch3~|~ch3c-ch3-2ch3","neopentane~|~2,2-dimethylpropane~|~ch3c_ch3_2ch3~|~ch3c-ch3-2ch3",matched
phenyl~|~c6d5_phenyl~|~c6d5-phenyl,phenyl~|~c6d5_phenyl~|~c6d5-phenyl,missing_kept_nasa_only
c6d6,c6d6,missing_kept_nasa_only
c6h2,c6h2,missing_kept_nasa_only
phenyl radical~|~phenyl~|~c6h5_phenyl~|~c6h5-phenyl,phenyl radical~|~phenyl~|~c6h5_phenyl~|~c6h5-phenyl,missing_kept_nasa_only
phenoxy radical~|~phenoxy~|~c6h5o_phenoxy~|~c6h5o-phenoxy,phenoxy radical~|~phenoxy~|~c6h5o_phenoxy~|~c6h5o-phenoxy,missing_kept_nasa_only
benzene~|~c6h6,benzene~|~c6h6,matched
phenol~|~c6h5oh_phenol~|~c6h5oh-phenol,phenol~|~c6h5oh_phenol~|~c6h5oh-phenol,matched
cyclohexene~|~c6h10_cyclo~|~c6h10-cyclo,cyclohexene~|~c6h10_cyclo~|~c6h10-cyclo,matched
hexene~|~1-hexene~|~hex-1-ene~|~c6h12_1_hexene~|~c6h12-1-hexene,hexene~|~1-hexene~|~hex-1-ene~|~c6h12_1_hexene~|~c6h12-1-hexene,matched
cyclohexane~|~c6h12_cyclo~|~c6h12-cyclo,cyclohexane~|~c6h12_cyclo~|~c6h12-cyclo,matched
n-hexyl radical~|~hexyl radical~|~c6h13_n_hexyl~|~c6h13-n-hexyl,n-hexyl radical~|~hexyl radical~|~c6h13_n_hexyl~|~c6h13-n-hexyl,missing_kept_nasa_only
hexane~|~n-hexane~|~c6h14_n_hexane~|~c6h14-n-hexane,hexane~|~n-hexane~|~c6h14_n_hexane~|~c6h14-n-hexane,matched
benzyl radical~|~benzyl~|~c7h7_benzyl~|~c7h7-benzyl,benzyl radical~|~benzyl~|~c7h7_benzyl~|~c7h7-benzyl,missing_kept_nasa_only
toluene~|~methylbenzene~|~c7h8,toluene~|~methylbenzene~|~c7h8,matched
m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene~|~cresol~|~c7h8o_cresol_mx~|~c7h8o-cresol-mx,m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene~|~cresol~|~c7h8o_cresol_mx~|~c7h8o-cresol-mx,matched
1-heptene~|~hept-1-ene~|~c7h14_1_heptene~|~c7h14-1-heptene,1-heptene~|~hept-1-ene~|~c7h14_1_heptene~|~c7h14-1-heptene,matched
n-heptyl~|~c7h15_n_heptyl~|~c7h15-n-heptyl,n-heptyl~|~c7h15_n_heptyl~|~c7h15-n-heptyl,missing_kept_nasa_only
heptane~|~n-heptane~|~c7h16_n_heptane~|~c7h16-n-heptane,heptane~|~n-heptane~|~c7h16_n_heptane~|~c7h16-n-heptane,matched
2-methylhexane~|~c7h16_2_methylh~|~c7h16-2-methylh,2-methylhexane~|~c7h16_2_methylh~|~c7h16-2-methylh,matched
styrene~|~ethenylbenzene~|~c8h8_styrene~|~c8h8-styrene,styrene~|~ethenylbenzene~|~c8h8_styrene~|~c8h8-styrene,matched
ethylbenzene~|~c8h10_ethylbenz~|~c8h10-ethylbenz,ethylbenzene~|~c8h10_ethylbenz~|~c8h10-ethylbenz,matched
octene~|~1-octene~|~oct-1-ene~|~c8h16_1_octene~|~c8h16-1-octene,octene~|~1-octene~|~oct-1-ene~|~c8h16_1_octene~|~c8h16-1-octene,matched
n-octyl~|~c8h17_n_octyl~|~c8h17-n-octyl,n-octyl~|~c8h17_n_octyl~|~c8h17-n-octyl,missing_kept_nasa_only
octane~|~n-octane~|~c8h18_n_octane~|~c8h18-n-octane,octane~|~n-octane~|~c8h18_n_octane~|~c8h18-n-octane,matched
"isooctane~|~2,2,4-trimethylpentane~|~c8h18_isooctane~|~c8h18-isooctane","isooctane~|~2,2,4-trimethylpentane~|~c8h18_isooctane~|~c8h18-isooctane",matched
n-nonyl~|~c9h19_n_nonyl~|~c9h19-n-nonyl,n-nonyl~|~c9h19_n_nonyl~|~c9h19-n-nonyl,missing_kept_nasa_only
naphthalene~|~c10h8_naphthale~|~c10h8-naphthale,naphthalene~|~c10h8_naphthale~|~c10h8-naphthale,matched
n-decyl~|~c10h21_n_decyl~|~c10h21-n-decyl,n-decyl~|~c10h21_n_decyl~|~c10h21-n-decyl,missing_kept_nasa_only
o-bipheny~|~c12h9_o_bipheny~|~c12h9-o-bipheny,o-bipheny~|~c12h9_o_bipheny~|~c12h9-o-bipheny,missing_kept_nasa_only
biphenyl~|~c12h10_biphenyl~|~c12h10-biphenyl,biphenyl~|~c12h10_biphenyl~|~c12h10-biphenyl,matched
ca,ca,missing_kept_nasa_only
caplus,caplus,missing_kept_nasa_only
cabr,cabr,missing_kept_nasa_only
Calcium bromide~|~CaBr2,Calcium bromide~|~CaBr2,matched
cacl,cacl,missing_kept_nasa_only
caclplus,caclplus,missing_kept_nasa_only
cacl2,cacl2,missing_kept_nasa_only
caf,caf,missing_kept_nasa_only
cafplus,cafplus,missing_kept_nasa_only
caf2,caf2,missing_kept_nasa_only
cah,cah,missing_kept_nasa_only
cai,cai,missing_kept_nasa_only
cai2,cai2,missing_kept_nasa_only
cao,cao,missing_kept_nasa_only
caoplus,caoplus,missing_kept_nasa_only
caoh,caoh,missing_kept_nasa_only
caohplus,caohplus,missing_kept_nasa_only
oh-2~|~ca_oh_2~|~ca-oh-2,oh-2~|~ca_oh_2~|~ca-oh-2,missing_kept_nasa_only
cas,cas,missing_kept_nasa_only
ca2,ca2,missing_kept_nasa_only
cd,cd,missing_kept_nasa_only
cdplus,cdplus,missing_kept_nasa_only
chlorine atom~|~atomic chlorine~|~cl,chlorine atom~|~atomic chlorine~|~cl,missing_kept_nasa_only
clplus,clplus,missing_kept_nasa_only
clminus,clminus,missing_kept_nasa_only
clcn,clcn,missing_kept_nasa_only
clf,clf,missing_kept_nasa_only
clf3,clf3,missing_kept_nasa_only
clf5,clf5,missing_kept_nasa_only
clo,clo,missing_kept_nasa_only
clo2,clo2,missing_kept_nasa_only
cl2~|~chlorine~|~dichlorine,cl2~|~chlorine~|~dichlorine,matched
cl2o,cl2o,missing_kept_nasa_only
carbon monoxide~|~co,carbon monoxide~|~co,matched
coplus,coplus,missing_kept_nasa_only
cominus,cominus,missing_kept_nasa_only
cr,cr,missing_kept_nasa_only
crplus,crplus,missing_kept_nasa_only
crminus,crminus,missing_kept_nasa_only
crn,crn,missing_kept_nasa_only
cro,cro,missing_kept_nasa_only
cro2,cro2,missing_kept_nasa_only
cro3,cro3,missing_kept_nasa_only
cro3minus,cro3minus,missing_kept_nasa_only
carbon sulfide~|~carbon monosulfide~|~carbon monosulphide~|~cs,carbon sulfide~|~carbon monosulfide~|~carbon monosulphide~|~cs,matched
csplus,csplus,missing_kept_nasa_only
csminus,csminus,missing_kept_nasa_only
csbo2,csbo2,missing_kept_nasa_only
csbr,csbr,missing_kept_nasa_only
cscl,cscl,missing_kept_nasa_only
csf,csf,missing_kept_nasa_only
csh,csh,missing_kept_nasa_only
csi,csi,missing_kept_nasa_only
csli,csli,missing_kept_nasa_only
csno2,csno2,missing_kept_nasa_only
csno3,csno3,missing_kept_nasa_only
csna,csna,missing_kept_nasa_only
cso,cso,missing_kept_nasa_only
csoh,csoh,missing_kept_nasa_only
csrb,csrb,missing_kept_nasa_only
cs2~|~carbon disulfide~|~carbon disulphide,cs2~|~carbon disulfide~|~carbon disulphide,matched
cs2br2,cs2br2,missing_kept_nasa_only
cs2co3,cs2co3,missing_kept_nasa_only
cs2cl2,cs2cl2,missing_kept_nasa_only
cs2f2,cs2f2,missing_kept_nasa_only
cs2i2,cs2i2,missing_kept_nasa_only
cs2o,cs2o,missing_kept_nasa_only
cs2oplus,cs2oplus,missing_kept_nasa_only
cs2o2,cs2o2,missing_kept_nasa_only
cs2o2h2,cs2o2h2,missing_kept_nasa_only
cs2so4,cs2so4,missing_kept_nasa_only
cu,cu,missing_kept_nasa_only
cuplus,cuplus,missing_kept_nasa_only
cuminus,cuminus,missing_kept_nasa_only
cucl,cucl,missing_kept_nasa_only
cuf,cuf,missing_kept_nasa_only
cuf2,cuf2,missing_kept_nasa_only
cuo,cuo,missing_kept_nasa_only
cu2,cu2,missing_kept_nasa_only
cu3cl3,cu3cl3,missing_kept_nasa_only
deuterium atom~|~atomic deuterium~|~d,deuterium atom~|~atomic deuterium~|~d,missing_kept_nasa_only
dplus,dplus,missing_kept_nasa_only
dminus,dminus,missing_kept_nasa_only
dbr,dbr,missing_kept_nasa_only
dcl,dcl,missing_kept_nasa_only
df,df,missing_kept_nasa_only
docl,docl,missing_kept_nasa_only
do2,do2,missing_kept_nasa_only
do2minus,do2minus,missing_kept_nasa_only
deuterium~|~d2,deuterium~|~d2,matched
d2plus,d2plus,missing_kept_nasa_only
d2minus,d2minus,missing_kept_nasa_only
d2o,d2o,missing_kept_nasa_only
d2o2,d2o2,missing_kept_nasa_only
d2s,d2s,missing_kept_nasa_only
eminus,eminus,missing_kept_nasa_only
fluorine atom~|~atomic fluorine~|~f,fluorine atom~|~atomic fluorine~|~f,missing_kept_nasa_only
fplus,fplus,missing_kept_nasa_only
fminus,fminus,missing_kept_nasa_only
fcn,fcn,missing_kept_nasa_only
fco,fco,missing_kept_nasa_only
fo,fo,missing_kept_nasa_only
foo~|~fo2_foo~|~fo2-foo,foo~|~fo2_foo~|~fo2-foo,missing_kept_nasa_only
ofo~|~fo2_ofo~|~fo2-ofo,ofo~|~fo2_ofo~|~fo2-ofo,missing_kept_nasa_only
fluorine~|~difluorine~|~f2,fluorine~|~difluorine~|~f2,matched
f2o,f2o,missing_kept_nasa_only
f2o2,f2o2,missing_kept_nasa_only
fs2f,fs2f,missing_kept_nasa_only
fe,fe,missing_kept_nasa_only
feplus,feplus,missing_kept_nasa_only
co-5~|~fe_co_5~|~fe-co-5,co-5~|~fe_co_5~|~fe-co-5,missing_kept_nasa_only
fecl,fecl,missing_kept_nasa_only
fecl2,fecl2,missing_kept_nasa_only
fecl3,fecl3,missing_kept_nasa_only
feo,feo,missing_kept_nasa_only
oh-2~|~fe_oh_2~|~fe-oh-2,oh-2~|~fe_oh_2~|~fe-oh-2,missing_kept_nasa_only
fe2cl4,fe2cl4,missing_kept_nasa_only
fe2cl6,fe2cl6,missing_kept_nasa_only
ga,ga,missing_kept_nasa_only
gaplus,gaplus,missing_kept_nasa_only
gabr,gabr,missing_kept_nasa_only
gabr2,gabr2,missing_kept_nasa_only
gabr3,gabr3,missing_kept_nasa_only
gacl,gacl,missing_kept_nasa_only
gacl2,gacl2,missing_kept_nasa_only
gacl3,gacl3,missing_kept_nasa_only
gaf,gaf,missing_kept_nasa_only
gaf2,gaf2,missing_kept_nasa_only
gaf3,gaf3,missing_kept_nasa_only
gah,gah,missing_kept_nasa_only
gai,gai,missing_kept_nasa_only
gai2,gai2,missing_kept_nasa_only
gai3,gai3,missing_kept_nasa_only
gao,gao,missing_kept_nasa_only
gaoh,gaoh,missing_kept_nasa_only
ga2br2,ga2br2,missing_kept_nasa_only
ga2br4,ga2br4,missing_kept_nasa_only
ga2br6,ga2br6,missing_kept_nasa_only
ga2cl2,ga2cl2,missing_kept_nasa_only
ga2cl4,ga2cl4,missing_kept_nasa_only
ga2cl6,ga2cl6,missing_kept_nasa_only
ga2f2,ga2f2,missing_kept_nasa_only
ga2f4,ga2f4,missing_kept_nasa_only
ga2f6,ga2f6,missing_kept_nasa_only
ga2i2,ga2i2,missing_kept_nasa_only
ga2i4,ga2i4,missing_kept_nasa_only
ga2i6,ga2i6,missing_kept_nasa_only
ga2o,ga2o,missing_kept_nasa_only
ge,ge,missing_kept_nasa_only
geplus,geplus,missing_kept_nasa_only
geminus,geminus,missing_kept_nasa_only
gebr,gebr,missing_kept_nasa_only
gebr2,gebr2,missing_kept_nasa_only
gebr3,gebr3,missing_kept_nasa_only
gebr4,gebr4,missing_kept_nasa_only
gecl,gecl,missing_kept_nasa_only
gecl2,gecl2,missing_kept_nasa_only
gecl3,gecl3,missing_kept_nasa_only
gecl4,gecl4,missing_kept_nasa_only
gef,gef,missing_kept_nasa_only
gef2,gef2,missing_kept_nasa_only
gef3,gef3,missing_kept_nasa_only
gef4,gef4,missing_kept_nasa_only
geh4,geh4,missing_kept_nasa_only
gei,gei,missing_kept_nasa_only
geo,geo,missing_kept_nasa_only
geo2,geo2,missing_kept_nasa_only
ges,ges,missing_kept_nasa_only
ges2,ges2,missing_kept_nasa_only
ge2,ge2,missing_kept_nasa_only
hydrogen atom~|~atomic hydrogen~|~h,hydrogen atom~|~atomic hydrogen~|~h,missing_kept_nasa_only
hydrogen ion~|~proton~|~hplus,hydrogen ion~|~proton~|~hplus,missing_kept_nasa_only
hydride anion~|~hminus,hydride anion~|~hminus,missing_kept_nasa_only
halo,halo,missing_kept_nasa_only
halo2,halo2,missing_kept_nasa_only
hbo,hbo,missing_kept_nasa_only
hboplus,hboplus,missing_kept_nasa_only
hbo2,hbo2,missing_kept_nasa_only
hbs,hbs,missing_kept_nasa_only
hbsplus,hbsplus,missing_kept_nasa_only
hydrogen cyanide~|~hydrocyanic acid~|~hcn,hydrogen cyanide~|~hydrocyanic acid~|~hcn,matched
hco,hco,missing_kept_nasa_only
hcoplus,hcoplus,missing_kept_nasa_only
hccn,hccn,missing_kept_nasa_only
hcco,hcco,missing_kept_nasa_only
hcl~|~hydrogen chloride~|~hydrochloric acid,hcl~|~hydrogen chloride~|~hydrochloric acid,matched
deuterium hydride~|~hydrogen deuteride~|~hd,deuterium hydride~|~hydrogen deuteride~|~hd,missing_kept_nasa_only
hdplus,hdplus,missing_kept_nasa_only
hdo,hdo,missing_kept_nasa_only
hdo2,hdo2,missing_kept_nasa_only
hydrogen fluoride~|~hydrofluoric acid~|~hf,hydrogen fluoride~|~hydrofluoric acid~|~hf,matched
hydrogen iodide~|~hydroiodic acid~|~hi,hydrogen iodide~|~hydroiodic acid~|~hi,matched
hydrogen isocyanide~|~hnc,hydrogen isocyanide~|~hnc,missing_kept_nasa_only
hnco,hnco,missing_kept_nasa_only
nitroxyl~|~hno,nitroxyl~|~hno,missing_kept_nasa_only
nitrous acid~|~hno2,nitrous acid~|~hno2,missing_kept_nasa_only
nitric acid~|~hno3,nitric acid~|~hno3,matched
hocl,hocl,missing_kept_nasa_only
hof,hof,missing_kept_nasa_only
ho2,ho2,missing_kept_nasa_only
ho2minus,ho2minus,missing_kept_nasa_only
hpo,hpo,missing_kept_nasa_only
hso3f,hso3f,missing_kept_nasa_only
hydrogen~|~dihydrogen~|~h2,hydrogen~|~dihydrogen~|~h2,matched
h2plus,h2plus,missing_kept_nasa_only
h2minus,h2minus,missing_kept_nasa_only
hboh,hboh,missing_kept_nasa_only
hcooh,hcooh,missing_kept_nasa_only
h2f2,h2f2,missing_kept_nasa_only
water~|~h2o,water~|~h2o,matched
h2oplus,h2oplus,missing_kept_nasa_only
hydrogen peroxide~|~h2o2,hydrogen peroxide~|~h2o2,matched
hydrogen sulfide~|~hydrogen sulphide~|~h2s,hydrogen sulfide~|~hydrogen sulphide~|~h2s,matched
h2so4,h2so4,missing_kept_nasa_only
h2boh,h2boh,missing_kept_nasa_only
oh-2~|~hb_oh_2~|~hb-oh-2,oh-2~|~hb_oh_2~|~hb-oh-2,missing_kept_nasa_only
h3bo3,h3bo3,missing_kept_nasa_only
h3b3o3,h3b3o3,missing_kept_nasa_only
h3b3o6,h3b3o6,missing_kept_nasa_only
h3f3,h3f3,missing_kept_nasa_only
h3oplus,h3oplus,missing_kept_nasa_only
h4f4,h4f4,missing_kept_nasa_only
h5f5,h5f5,missing_kept_nasa_only
h6f6,h6f6,missing_kept_nasa_only
h7f7,h7f7,missing_kept_nasa_only
helium~|~helium-4~|~he,helium~|~helium-4~|~he,matched
helium ion~|~heplus,helium ion~|~heplus,missing_kept_nasa_only
mercury~|~hg,mercury~|~hg,matched
hgplus,hgplus,missing_kept_nasa_only
mercuric bromide~|~HgBr2,mercuric bromide~|~HgBr2,matched
iodine atom~|~atomic iodine~|~i,iodine atom~|~atomic iodine~|~i,missing_kept_nasa_only
iplus,iplus,missing_kept_nasa_only
iminus,iminus,missing_kept_nasa_only
if5,if5,missing_kept_nasa_only
if7,if7,missing_kept_nasa_only
i2~|~iodine~|~diiodine,i2~|~iodine~|~diiodine,matched
in,in,missing_kept_nasa_only
inplus,inplus,missing_kept_nasa_only
inbr,inbr,missing_kept_nasa_only
inbr2,inbr2,missing_kept_nasa_only
inbr3,inbr3,missing_kept_nasa_only
incl,incl,missing_kept_nasa_only
incl2,incl2,missing_kept_nasa_only
incl3,incl3,missing_kept_nasa_only
inf,inf,missing_kept_nasa_only
inf2,inf2,missing_kept_nasa_only
inf3,inf3,missing_kept_nasa_only
inh,inh,missing_kept_nasa_only
ini,ini,missing_kept_nasa_only
ini2,ini2,missing_kept_nasa_only
ini3,ini3,missing_kept_nasa_only
ino,ino,missing_kept_nasa_only
inoh,inoh,missing_kept_nasa_only
in2br2,in2br2,missing_kept_nasa_only
in2br4,in2br4,missing_kept_nasa_only
in2br6,in2br6,missing_kept_nasa_only
in2cl2,in2cl2,missing_kept_nasa_only
in2cl4,in2cl4,missing_kept_nasa_only
in2cl6,in2cl6,missing_kept_nasa_only
in2f2,in2f2,missing_kept_nasa_only
in2f4,in2f4,missing_kept_nasa_only
in2f6,in2f6,missing_kept_nasa_only
in2i2,in2i2,missing_kept_nasa_only
in2i4,in2i4,missing_kept_nasa_only
in2i6,in2i6,missing_kept_nasa_only
in2o,in2o,missing_kept_nasa_only
k,k,missing_kept_nasa_only
kplus,kplus,missing_kept_nasa_only
kminus,kminus,missing_kept_nasa_only
kalf4,kalf4,missing_kept_nasa_only
kbo2,kbo2,missing_kept_nasa_only
kbr,kbr,missing_kept_nasa_only
kcn,kcn,missing_kept_nasa_only
kcl,kcl,missing_kept_nasa_only
kf,kf,missing_kept_nasa_only
kh,kh,missing_kept_nasa_only
ki,ki,missing_kept_nasa_only
kli,kli,missing_kept_nasa_only
kno2,kno2,missing_kept_nasa_only
kno3,kno3,missing_kept_nasa_only
kna,kna,missing_kept_nasa_only
ko,ko,missing_kept_nasa_only
koh,koh,missing_kept_nasa_only
k2,k2,missing_kept_nasa_only
k2plus,k2plus,missing_kept_nasa_only
k2br2,k2br2,missing_kept_nasa_only
k2co3,k2co3,missing_kept_nasa_only
k2c2n2,k2c2n2,missing_kept_nasa_only
k2cl2,k2cl2,missing_kept_nasa_only
k2f2,k2f2,missing_kept_nasa_only
k2i2,k2i2,missing_kept_nasa_only
k2o,k2o,missing_kept_nasa_only
k2oplus,k2oplus,missing_kept_nasa_only
k2o2,k2o2,missing_kept_nasa_only
k2o2h2,k2o2h2,missing_kept_nasa_only
k2so4,k2so4,missing_kept_nasa_only
krypton~|~kr,krypton~|~kr,matched
krplus,krplus,missing_kept_nasa_only
li,li,missing_kept_nasa_only
liplus,liplus,missing_kept_nasa_only
liminus,liminus,missing_kept_nasa_only
lialf4,lialf4,missing_kept_nasa_only
libo2,libo2,missing_kept_nasa_only
libr,libr,missing_kept_nasa_only
licl,licl,missing_kept_nasa_only
lif,lif,missing_kept_nasa_only
lih,lih,missing_kept_nasa_only
lii,lii,missing_kept_nasa_only
lin,lin,missing_kept_nasa_only
lino2,lino2,missing_kept_nasa_only
lino3,lino3,missing_kept_nasa_only
lio,lio,missing_kept_nasa_only
liof,liof,missing_kept_nasa_only
lioh,lioh,missing_kept_nasa_only
lion,lion,missing_kept_nasa_only
li2,li2,missing_kept_nasa_only
li2plus,li2plus,missing_kept_nasa_only
li2br2,li2br2,missing_kept_nasa_only
li2f2,li2f2,missing_kept_nasa_only
li2i2,li2i2,missing_kept_nasa_only
li2o,li2o,missing_kept_nasa_only
li2oplus,li2oplus,missing_kept_nasa_only
li2o2,li2o2,missing_kept_nasa_only
li2o2h2,li2o2h2,missing_kept_nasa_only
li2so4,li2so4,missing_kept_nasa_only
li3plus,li3plus,missing_kept_nasa_only
li3br3,li3br3,missing_kept_nasa_only
li3cl3,li3cl3,missing_kept_nasa_only
li3f3,li3f3,missing_kept_nasa_only
li3i3,li3i3,missing_kept_nasa_only
mg,mg,missing_kept_nasa_only
mgplus,mgplus,missing_kept_nasa_only
mgbr,mgbr,missing_kept_nasa_only
MgBr2~|~magnesium bromide,MgBr2~|~magnesium bromide,matched
mgcl,mgcl,missing_kept_nasa_only
mgclplus,mgclplus,missing_kept_nasa_only
mgcl2,mgcl2,missing_kept_nasa_only
mgf,mgf,missing_kept_nasa_only
mgfplus,mgfplus,missing_kept_nasa_only
mgf2,mgf2,missing_kept_nasa_only
mgf2plus,mgf2plus,missing_kept_nasa_only
mgh,mgh,missing_kept_nasa_only
mgi,mgi,missing_kept_nasa_only
mgi2,mgi2,missing_kept_nasa_only
mgn,mgn,missing_kept_nasa_only
mgo,mgo,missing_kept_nasa_only
mgoh,mgoh,missing_kept_nasa_only
mgohplus,mgohplus,missing_kept_nasa_only
oh-2~|~mg_oh_2~|~mg-oh-2,oh-2~|~mg_oh_2~|~mg-oh-2,missing_kept_nasa_only
mgs,mgs,missing_kept_nasa_only
mg2,mg2,missing_kept_nasa_only
mg2f4,mg2f4,missing_kept_nasa_only
mn,mn,missing_kept_nasa_only
mnplus,mnplus,missing_kept_nasa_only
mo,mo,missing_kept_nasa_only
moplus,moplus,missing_kept_nasa_only
mominus,mominus,missing_kept_nasa_only
moo,moo,missing_kept_nasa_only
moo2,moo2,missing_kept_nasa_only
moo3,moo3,missing_kept_nasa_only
moo3minus,moo3minus,missing_kept_nasa_only
mo2o6,mo2o6,missing_kept_nasa_only
mo3o9,mo3o9,missing_kept_nasa_only
mo4o12,mo4o12,missing_kept_nasa_only
mo5o15,mo5o15,missing_kept_nasa_only
nitrogen atom~|~atomic nitrogen~|~n,nitrogen atom~|~atomic nitrogen~|~n,missing_kept_nasa_only
nplus,nplus,missing_kept_nasa_only
nminus,nminus,missing_kept_nasa_only
nco,nco,missing_kept_nasa_only
nd,nd,missing_kept_nasa_only
nd2,nd2,missing_kept_nasa_only
nd3,nd3,missing_kept_nasa_only
nf,nf,missing_kept_nasa_only
nf2,nf2,missing_kept_nasa_only
nf3,nf3,missing_kept_nasa_only
nh,nh,missing_kept_nasa_only
nhplus,nhplus,missing_kept_nasa_only
nhf,nhf,missing_kept_nasa_only
nhf2,nhf2,missing_kept_nasa_only
nh2,nh2,missing_kept_nasa_only
nh2f,nh2f,missing_kept_nasa_only
ammonia~|~nh3,ammonia~|~nh3,matched
nh2oh,nh2oh,missing_kept_nasa_only
nh4plus,nh4plus,missing_kept_nasa_only
nitric oxide~|~nitrogen oxide~|~nitrogen oxide (no)~|~nitrogen monoxide~|~no,nitric oxide~|~nitrogen oxide~|~nitrogen oxide (no)~|~nitrogen monoxide~|~no,matched
nocl,nocl,missing_kept_nasa_only
nof,nof,missing_kept_nasa_only
nof3,nof3,missing_kept_nasa_only
nitrogen dioxide~|~no2,nitrogen dioxide~|~no2,matched
no2minus,no2minus,missing_kept_nasa_only
no2cl,no2cl,missing_kept_nasa_only
no2f,no2f,missing_kept_nasa_only
no3,no3,missing_kept_nasa_only
no3minus,no3minus,missing_kept_nasa_only
no3f,no3f,missing_kept_nasa_only
nitrogen~|~dinitrogen~|~n2,nitrogen~|~dinitrogen~|~n2,matched
n2plus,n2plus,missing_kept_nasa_only
n2minus,n2minus,missing_kept_nasa_only
ncn,ncn,missing_kept_nasa_only
cis~|~n2d2_cis~|~n2d2-cis,cis~|~n2d2_cis~|~n2d2-cis,missing_kept_nasa_only
n2f2,n2f2,missing_kept_nasa_only
n2f4,n2f4,missing_kept_nasa_only
n2h2,n2h2,missing_kept_nasa_only
nh2no2,nh2no2,missing_kept_nasa_only
n2h4,n2h4,missing_kept_nasa_only
nitrous oxide~|~dinitrogen monoxide~|~n2o,nitrous oxide~|~dinitrogen monoxide~|~n2o,matched
n2oplus,n2oplus,missing_kept_nasa_only
dinitrogen trioxide~|~n2o3,dinitrogen trioxide~|~n2o3,missing_kept_nasa_only
dinitrogen tetroxide~|~n2o4,dinitrogen tetroxide~|~n2o4,matched
dinitrogen pentoxide~|~n2o5,dinitrogen pentoxide~|~n2o5,missing_kept_nasa_only
n3,n3,missing_kept_nasa_only
n3h,n3h,missing_kept_nasa_only
na,na,missing_kept_nasa_only
naplus,naplus,missing_kept_nasa_only
naminus,naminus,missing_kept_nasa_only
naalf4,naalf4,missing_kept_nasa_only
nabo2,nabo2,missing_kept_nasa_only
nabr,nabr,missing_kept_nasa_only
nacn,nacn,missing_kept_nasa_only
nacl,nacl,missing_kept_nasa_only
naf,naf,missing_kept_nasa_only
nah,nah,missing_kept_nasa_only
nai,nai,missing_kept_nasa_only
nali,nali,missing_kept_nasa_only
nano2,nano2,missing_kept_nasa_only
nano3,nano3,missing_kept_nasa_only
nao,nao,missing_kept_nasa_only
naoh,naoh,missing_kept_nasa_only
naohplus,naohplus,missing_kept_nasa_only
na2,na2,missing_kept_nasa_only
na2br2,na2br2,missing_kept_nasa_only
na2cl2,na2cl2,missing_kept_nasa_only
na2f2,na2f2,missing_kept_nasa_only
na2i2,na2i2,missing_kept_nasa_only
na2o,na2o,missing_kept_nasa_only
na2oplus,na2oplus,missing_kept_nasa_only
na2o2,na2o2,missing_kept_nasa_only
na2o2h2,na2o2h2,missing_kept_nasa_only
na2so4,na2so4,missing_kept_nasa_only
na3cl3,na3cl3,missing_kept_nasa_only
na3f3,na3f3,missing_kept_nasa_only
nb,nb,missing_kept_nasa_only
nbplus,nbplus,missing_kept_nasa_only
nbminus,nbminus,missing_kept_nasa_only
nbcl5,nbcl5,missing_kept_nasa_only
nbo,nbo,missing_kept_nasa_only
nbocl3,nbocl3,missing_kept_nasa_only
nbo2,nbo2,missing_kept_nasa_only
neon~|~ne,neon~|~ne,matched
neplus,neplus,missing_kept_nasa_only
ni,ni,missing_kept_nasa_only
niplus,niplus,missing_kept_nasa_only
